Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"أبوظبي, الإمارات العربية المتحدة",1991 1991,46.1,5.1,27.6,3.3,58.5,106,,83.5,,9.7,11.1,63.07
"أبوظبي, الإمارات العربية المتحدة",1992 1992,44.6,8.9,26.5,,54.6,0,,90.2,,10,13.2,60.08
"أبوظبي, الإمارات العربية المتحدة",1993 1993,45.3,10.1,27.4,,58.2,816,0,58.3,,10.1,11.8,61.91
"أبوظبي, الإمارات العربية المتحدة",1994 1994,45.3,9.1,27.4,8.6,59.2,353,,113.2,,9.9,12.6,60.35
"أبوظبي, الإمارات العربية المتحدة",1995 1995,47.1,10.7,27.3,,59.6,0,,46.6,,10.2,13.9,61.51
"أبوظبي, الإمارات العربية المتحدة",1996 1996,47.1,11.1,27.8,,58.8,50,,45.3,,10.2,13.6,60.61
"أبوظبي, الإمارات العربية المتحدة",1997 1997,47.1,9.1,27.1,8,59.2,0,,72.6,,10.3,15.9,62.25
"أبوظبي, الإمارات العربية المتحدة",1998 1998,46.2,8.1,28.8,5.8,60.3,390,,105.4,,10,12.9,60.4
"أبوظبي, الإمارات العربية المتحدة",1999 1999,48.1,11.1,28.6,,59.4,0,1.06,46.4,,9.9,8.8,58.63
"أبوظبي, الإمارات العربية المتحدة",2000 2000,47.6,11.1,28.3,,62,11.65,,67.6,,9.6,9.2,59.04
"أبوظبي, الإمارات العربية المتحدة",2001 2001,48.1,6.6,28.1,4.9,58,7.6,,74.2,,9.6,11.1,56.94
"أبوظبي, الإمارات العربية المتحدة",2002 2002,48.1,8,28.2,6.7,62.8,39.6,,50.3,,9.4,14.4,57.84
"أبوظبي, الإمارات العربية المتحدة",2003 2003,47.1,9.1,28.6,7.6,62.8,24.2,,63,,9.1,13,58.19
"أبوظبي, الإمارات العربية المتحدة",2004 2004,47.1,10.1,28.4,,58.3,17.7,,79.6,,9.4,11.6,58.73
"أبوظبي, الإمارات العربية المتحدة",2005 2005,47.1,11.1,28,,59.4,45.6,,50.4,,9.3,11.3,58.54
"أبوظبي, الإمارات العربية المتحدة",2006 2006,46.1,9.6,27.9,8.2,53.7,55.2,,72,,9.2,10.8,56.02
"أبوظبي, الإمارات العربية المتحدة",2007 2007,47.1,9.6,28,9.1,56.8,56.1,,53.6,,8.9,7.5,57.41
"أبوظبي, الإمارات العربية المتحدة",2008 2008,51.6,6.9,27.6,5.1,57.1,894,,51.8,,8.1,8.1,56.35
"أبوظبي, الإمارات العربية المتحدة",2009 2009,46.1,9.2,28.2,,55.4,89.3,,110.9,,8.4,11.2,55.2
"أبوظبي, الإمارات العربية المتحدة",2010 2010,47.1,11.7,29.2,,58.7,127.5,,53.5,,9,5.3,53.69
"أبوظبي, الإمارات العربية المتحدة",2011 2011,47.2,11.8,28.8,,57.5,7.6,,43.1,,9.2,6,54.76
"أبوظبي, الإمارات العربية المتحدة",2012 2012,47.1,9.1,28.9,7.3,57.3,6.8,,49.7,,9.1,5.9,54.07
"أبوظبي, الإمارات العربية المتحدة",2013 2013,47.1,10.9,28.4,,56.9,113.25,,42.5,,8.8,6.4,57.36
"أبوظبي, الإمارات العربية المتحدة",2014 2014,46.9,13.1,28.6,,60,0,,43.4,,8.2,6.2,57.45
