Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Abuja, Federal Capital Territory, Nigeria",1992 1992,34.9,34.9,34.9,,32.5,0,,,,10,90,15.7
"Abuja, Federal Capital Territory, Nigeria",1993 1993,28.1,28.1,28.1,,31.1,0,,7.6,,20,90,72.53
"Abuja, Federal Capital Territory, Nigeria",1994 1994,39.7,17.4,29.8,,41.5,6,,16.6,,13.5,84.2,49.43
"Abuja, Federal Capital Territory, Nigeria",1995 1995,19.6,19.6,19.6,,,0,,0,,1,90,49.34
"Abuja, Federal Capital Territory, Nigeria",2001 2001,20.7,20.7,20.7,,,0,,0,,10,90,98.17
"Abuja, Federal Capital Territory, Nigeria",2002 2002,35.6,15.6,26.5,,39.7,508.2,,57.6,,13.4,90,73.56
"Abuja, Federal Capital Territory, Nigeria",2003 2003,38.2,19.7,27.9,,40.9,278.5,,46.4,,11.8,90,70.41
"Abuja, Federal Capital Territory, Nigeria",2004 2004,36.7,17.2,27.1,,41.2,428.4,,148,,9.8,89.8,73.39
"Abuja, Federal Capital Territory, Nigeria",2005 2005,39.2,16.4,28.3,,56.7,784.6,,105.5,,9.3,86.1,65.23
"Abuja, Federal Capital Territory, Nigeria",2006 2006,41.6,13.2,28.8,,45.7,863.3,,111.2,,9.5,74.5,64.22
"Abuja, Federal Capital Territory, Nigeria",2007 2007,38.7,15.1,26.9,,38.7,420.8,,172.1,,8.1,56.5,62.87
"Abuja, Federal Capital Territory, Nigeria",2008 2008,39.7,13.2,27.1,,42.5,1033.4,,50,,10.5,89.1,64.85
"Abuja, Federal Capital Territory, Nigeria",2009 2009,39.9,13.4,26.9,,52,1587.6,,61.2,13,9.5,50.1,64.32
"Abuja, Federal Capital Territory, Nigeria",2010 2010,40.1,15.6,27.1,,45.4,1356.2,,61.2,,9.7,47.1,63.96
"Abuja, Federal Capital Territory, Nigeria",2011 2011,39.1,14.6,27.6,,40.6,603,,118.4,,9.8,42.3,56.31
"Abuja, Federal Capital Territory, Nigeria",2012 2012,39.2,15.4,26.7,,42.1,1341.2,,166.7,,9.8,54.1,64.61
"Abuja, Federal Capital Territory, Nigeria",2013 2013,39.1,18.1,30.5,,40.8,0,,44.3,,9.6,24.6,48.46
"Abuja, Federal Capital Territory, Nigeria",2014 2014,40.1,3.2,27.6,1.1,42.1,693.4,,120.6,,9,43.7,60.37
