Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Amsterdam, Noord-Holland, Nederland",1991 1991,31.4,-13.2,9.6,-20.9,33,358.8,,70.5,,14.4,61.5,85
"Amsterdam, Noord-Holland, Nederland",1992 1992,29.8,-6.3,10.7,-12.1,31.5,492.6,,70.4,,15.7,62.6,83.99
"Amsterdam, Noord-Holland, Nederland",1993 1993,26.9,-8.5,9.7,-14.8,27.3,495.6,,92.2,,15.8,64,85.85
"Amsterdam, Noord-Holland, Nederland",1994 1994,32.4,-7.6,10.7,-17.9,33.3,616.9,,79.8,,16.1,63.8,83.39
"Amsterdam, Noord-Holland, Nederland",1995 1995,32.2,-9.6,10.5,-16.1,32.4,355.4,,68.4,,17.1,64.1,82.99
"Amsterdam, Noord-Holland, Nederland",1996 1996,32.7,-11.6,8.6,-20.5,32.9,321.53,,97.9,,16.9,66.6,81.97
"Amsterdam, Noord-Holland, Nederland",1997 1997,32.2,-13.6,10.2,-17.7,31.4,304.85,,46.4,,17.1,66.1,83.68
"Amsterdam, Noord-Holland, Nederland",1998 1998,31.4,-7.8,10.6,-11.8,30.4,753.21,,75.6,,17.4,65.5,84.27
"Amsterdam, Noord-Holland, Nederland",1999 1999,30.9,-8.2,11.2,-11.5,29.1,350.3,3.15,72,,18.8,57.9,82.39
"Amsterdam, Noord-Holland, Nederland",2000 2000,32.6,-4.6,11,-9.4,33.7,1045.2,,75.6,,17.1,59.6,84.24
"Amsterdam, Noord-Holland, Nederland",2001 2001,31.5,-6.4,10.6,-9.7,32.9,1297.32,,68.4,,18.5,61.2,83.37
"Amsterdam, Noord-Holland, Nederland",2002 2002,31.2,-7.6,10.9,-15.9,31.3,1029.48,,86.4,,18.1,57.5,81.69
"Amsterdam, Noord-Holland, Nederland",2003 2003,33.1,-8.9,10.7,-15.8,32.8,686.32,,57.6,,15.2,47.6,78.95
"Amsterdam, Noord-Holland, Nederland",2004 2004,32.1,-7,10.7,-9.3,31.6,1003.27,,79.2,,16.6,57.1,80.82
"Amsterdam, Noord-Holland, Nederland",2005 2005,31.3,-15.2,10.9,-18.9,31,933.53,,64.8,100.8,17.2,53.4,81.64
"Amsterdam, Noord-Holland, Nederland",2006 2006,33.3,-6.7,11.3,-10.6,32.8,1003.84,,68.4,97.2,17.9,56.3,79.47
"Amsterdam, Noord-Holland, Nederland",2007 2007,28,-6.7,11.4,-10.2,28.8,1069.2,,85.3,111.6,18.7,54.5,81.49
"Amsterdam, Noord-Holland, Nederland",2008 2008,28.9,-6.9,10.8,-10.5,30.2,967.35,,68.4,3.6,20.9,53.6,81.03
"Amsterdam, Noord-Holland, Nederland",2009 2009,31.2,-8.1,10.7,-12.7,32.7,733.75,,57.6,104.4,19.8,53.8,80.18
"Amsterdam, Noord-Holland, Nederland",2010 2010,32.9,-12.8,9.2,-17.3,32,760.85,150,57.6,90,18.4,58.1,80.91
"Amsterdam, Noord-Holland, Nederland",2011 2011,31.7,-6.1,11,-10.9,34.5,738.45,,61.2,90,17.2,54.2,80.46
"Amsterdam, Noord-Holland, Nederland",2012 2012,31.6,-16.8,10.4,-19.7,32.5,1005.03,,64.8,90,20,59.2,81.33
"Amsterdam, Noord-Holland, Nederland",2013 2013,30.8,-9.2,9.9,-14.3,32,790.59,,82.8,111.6,20.4,57.3,79.81
"Amsterdam, Noord-Holland, Nederland",2014 2014,33.1,-2,11.9,-8.2,32.9,864.67,,61.2,32.4,8.9,33,81.74
