Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Ankara, Türkiye",1991 1991,35.5,-19.9,10.4,-24.5,34.5,769.2,7.65,51.8,,11.1,43.2,67.6
"Ankara, Türkiye",1992 1992,34.9,-21.9,9.1,-24.5,33.4,1057.3,3.67,56.1,,11.3,38.1,63.83
"Ankara, Türkiye",1993 1993,37.4,-20.9,8.9,-22.9,37.8,6662.3,4.33,92.5,,11.4,37.6,63.67
"Ankara, Türkiye",1994 1994,37,-16.3,11.8,-22.3,37,6427.1,,52.2,,10,37.4,60.13
"Ankara, Türkiye",1995 1995,35.1,-13.9,11.3,-18.9,35.4,419.3,1.29,118.9,,11.6,41.1,64.47
"Ankara, Türkiye",1996 1996,38.1,-12.9,12.1,-16.5,37.3,1397.4,2,115.3,,11.5,44.3,64.28
"Ankara, Türkiye",1997 1997,35.7,-16.5,10.5,-19.9,34.2,20.1,,92.5,,9.9,44.7,65.99
"Ankara, Türkiye",1998 1998,38.1,-13.9,12.6,-13.3,37,206.2,,144.4,,10.2,41.4,63.57
"Ankara, Türkiye",1999 1999,37.1,-8.9,11.7,-11.5,37.3,124.7,2.89,55.4,,10.2,39.3,62.41
"Ankara, Türkiye",2000 2000,41.1,-20.9,10.9,-24.7,37.7,587,20,47,,9.7,37.5,60.85
"Ankara, Türkiye",2001 2001,38.5,-12.9,12.6,-16.5,37.3,702.3,4,94.3,,10.6,39.2,59.7
"Ankara, Türkiye",2002 2002,38.4,-17.3,11.3,-22.3,37.6,416.1,22.2,41.9,,9.6,38.5,65.35
"Ankara, Türkiye",2003 2003,37,-10.4,12.3,-13.1,34.6,310.9,4.74,55.8,,11.8,39.2,59.96
"Ankara, Türkiye",2004 2004,36.6,-14.9,11.8,-17.6,33.9,362.1,74,49.3,,9.9,37.1,61.09
"Ankara, Türkiye",2005 2005,37.1,-11.9,12.2,-12.9,34.6,0,,43.9,,10,41.3,64.09
"Ankara, Türkiye",2006 2006,39,-22.9,11.9,-29.4,36.1,335.8,74,37.1,,9.4,39.1,63.75
"Ankara, Türkiye",2007 2007,38.1,-11.1,13,-15.4,35.5,243.17,,53.6,,10,35.1,58.19
"Ankara, Türkiye",2008 2008,38.1,-19.9,12.7,-17.4,35.5,56.1,,43,,12.9,35.5,59.22
"Ankara, Türkiye",2009 2009,34.9,-14.8,12.7,-16.9,32.4,19.7,,44.4,,13.2,43.2,61.14
"Ankara, Türkiye",2010 2010,39.4,-12,14.1,-16,37,584.8,,43.1,,13.2,43.2,60.71
"Ankara, Türkiye",2011 2011,36.1,-10.4,11.5,-12,34.5,11.5,,35,,12.9,40.6,63.62
"Ankara, Türkiye",2012 2012,40.4,-18,12.8,-22.4,37.7,35.2,,47.4,,13,39.8,60.34
"Ankara, Türkiye",2013 2013,35.1,-11.7,12.8,-14.8,32.6,208.87,3,52.1,59.4,15.9,37.6,55.42
"Ankara, Türkiye",2014 2014,37.4,-6.2,13.6,-9.7,34.7,967.22,,35.3,72.4,16.1,43.7,61.46
