Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"กรุงเทพมหานคร, ประเทศไทย",1991 1991,43.1,18.1,28.3,,47.9,2682.8,,61.2,,8.8,66.3,64.78
"กรุงเทพมหานคร, ประเทศไทย",1992 1992,39.1,16.5,28.7,,46.9,2606.12,,118.4,,9.1,63.7,69.22
"กรุงเทพมหานคร, ประเทศไทย",1993 1993,39.1,15.1,28.8,,49.6,3616.89,0,55.4,,8.9,66.6,69.29
"กรุงเทพมหานคร, ประเทศไทย",1994 1994,38.1,18.4,29.1,,48.7,5266.44,,83.1,,8.7,65.9,69.1
"กรุงเทพมหานคร, ประเทศไทย",1995 1995,40.1,14.1,28.4,,53.8,3180.15,,83.6,,8.6,63.5,72.39
"กรุงเทพมหานคร, ประเทศไทย",1996 1996,39.1,15.1,29,,72,3643.95,,59.4,,8.2,65.7,73.51
"กรุงเทพมหานคร, ประเทศไทย",1997 1997,40.1,19.1,29.9,,64.2,1769.98,,79.6,,8.9,60.8,65.99
"กรุงเทพมหานคร, ประเทศไทย",1998 1998,39.1,19.9,29.1,,49.1,4854.77,,67,,8.6,64.5,74.74
"กรุงเทพมหานคร, ประเทศไทย",1999 1999,37.8,12.1,27.9,,46.7,1313.81,2.21,71.2,,9.6,72.2,75.04
"กรุงเทพมหานคร, ประเทศไทย",2000 2000,38.1,17.1,28.3,,51.7,4416.45,,92.5,,9.7,73.9,77.36
"กรุงเทพมหานคร, ประเทศไทย",2001 2001,39.1,18.1,28.5,,55.4,3609.73,,46.4,,9.9,73.1,77.98
"กรุงเทพมหานคร, ประเทศไทย",2002 2002,38.1,19.1,29.3,,54.1,3515.79,,63,,9.8,73.7,77.71
"กรุงเทพมหานคร, ประเทศไทย",2003 2003,38.1,18.1,29.2,,51.7,3908.11,,74.2,,10,70,73.69
"กรุงเทพมหานคร, ประเทศไทย",2004 2004,40.1,20,29.3,,50.6,2424.35,,66.6,,9.7,68.3,72.65
"กรุงเทพมหานคร, ประเทศไทย",2005 2005,38.1,17.9,29.4,,56.7,2932.17,,61.2,,9.7,72.5,74.82
"กรุงเทพมหานคร, ประเทศไทย",2006 2006,38.8,17.1,29.5,,52.7,2870.84,,100.1,,9.7,70.7,70.87
"กรุงเทพมหานคร, ประเทศไทย",2007 2007,37.9,18.7,29.1,,51.5,3948.85,,76.8,,9.8,71.5,68.75
"กรุงเทพมหานคร, ประเทศไทย",2008 2008,37,19.1,28.5,,45.3,3913.57,,68.5,,9.8,76.7,69.03
"กรุงเทพมหานคร, ประเทศไทย",2009 2009,38.3,15.1,28.6,,46.7,7264.83,,65.8,,9.8,71.3,68.48
"กรุงเทพมหานคร, ประเทศไทย",2010 2010,38.9,20.1,29.2,,49.7,3611.84,,35.9,,9.8,70.6,69.69
"กรุงเทพมหานคร, ประเทศไทย",2011 2011,36.5,17.1,28.3,,44.7,3897.09,,38.7,,9.7,71.9,70.25
"กรุงเทพมหานคร, ประเทศไทย",2012 2012,39.7,21.1,29.5,,47,2536.49,,39.5,,9.9,77.6,70.88
"กรุงเทพมหานคร, ประเทศไทย",2013 2013,39.6,16.1,29.2,,46.1,2459.52,,40.4,,9.3,73.2,69.82
"กรุงเทพมหานคร, ประเทศไทย",2014 2014,37.7,15.2,28.9,,46.4,1783.1,,38.9,,9.4,69.4,70.63
