Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
中国北京,1991 1991,37.1,-12.9,12.5,-19.7,43.3,778.7,,97.2,,9.8,31.7,57.06
中国北京,1992 1992,37.4,-8.9,13,-17.2,43.7,2627.6,,57.6,,10.1,29.5,56.08
中国北京,1993 1993,36.1,-12.9,13,-19,37,507.2,,54,,10.1,30.5,52.84
中国北京,1994 1994,36.2,-11.9,13.6,-19.3,47.5,811.2,,57.6,,10,32,55.27
中国北京,1995 1995,36.1,-9.9,13.4,-15.5,46.4,577.4,,64.8,,10.3,28.7,52.65
中国北京,1996 1996,36.1,-10.9,12.7,-17.7,49.7,702.8,,54,,9.7,33.4,55.17
中国北京,1997 1997,39.1,-16.9,12.9,-22,49.7,432.4,,54,,9.2,28.5,58.48
中国北京,1998 1998,37.1,-13.9,13.2,-23.8,44,732.9,,72,,8.4,35.5,63.28
中国北京,1999 1999,42.1,-11.9,13.1,-20.2,47.8,50.3,2.97,50.4,,8.6,30.6,57.66
中国北京,2000 2000,40.1,-16.9,12.8,-25.1,46.9,457.9,,68.4,,9.4,32.1,54.57
中国北京,2001 2001,40.1,-18.9,12.6,-27.6,42.6,388.6,,61.2,,9.8,31.8,57.88
中国北京,2002 2002,40.2,-12.9,13.2,-20.6,53.8,387.7,,61.2,,10,22.7,55.87
中国北京,2003 2003,39.1,-13.9,13,-22,44,446.4,,57.6,,9.3,23.9,61.29
中国北京,2004 2004,39.1,-14.9,13.5,-24.5,44.5,487.2,,64.8,,10.5,21.7,55.46
中国北京,2005 2005,38.6,-12.9,13,-21.4,52.3,414.3,,54,75.6,11,21.1,52.9
中国北京,2006 2006,37.2,-14.9,13.3,-23.6,46.4,315,,61.2,64.8,9.7,26.2,55.92
中国北京,2007 2007,37.1,-11.4,13.8,-16.7,42.5,491.7,,57.6,72,10,24.5,56.81
中国北京,2008 2008,36.1,-13.9,12.9,-23.3,44,644.6,,64.8,,10.7,23.7,55.39
中国北京,2009 2009,40.1,-14.9,12.9,-23.3,40.7,494,,64.8,,11.5,24,52.91
中国北京,2010 2010,41.1,-18.9,12,-28.6,45.7,536.9,,61.2,,11.2,28.4,53.9
中国北京,2011 2011,36.1,-14.9,12.9,-21.5,44.3,715.9,,64.8,,11.2,25.2,53.31
中国北京,2012 2012,38.1,-17.9,12.3,-25.1,42.5,726.7,,61.2,,10.4,25.5,54.83
中国北京,2013 2013,38.1,-16.9,12.5,-23.2,40.8,22.1,,57.6,,7.5,13.6,53.64
中国北京,2014 2014,42.1,-12.9,13.7,-19.1,42.2,13.3,,72,,5,4.6,52.07
