Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Berlin, Deutschland",1991 1991,34.6,-13,9.4,-22.6,34.7,887.56,8.08,83.6,,11.2,42.8,73.15
"Berlin, Deutschland",1992 1992,37.7,-9.7,10.9,-20,37.8,1285.64,44.26,95.6,,14.1,17.5,69.35
"Berlin, Deutschland",1993 1993,50.1,-16.3,8.3,-26.6,30.7,3832.7,4.74,63,,9.2,20,78.84
"Berlin, Deutschland",1994 1994,36.7,-13.3,9.2,-25.3,34.3,735.8,2.11,61.2,,9.2,11.9,75.28
"Berlin, Deutschland",1995 1995,33.4,-14.8,8.3,-23.6,32.8,533.2,7.3,57.2,,8.9,11.5,77.98
"Berlin, Deutschland",1996 1996,31.9,-18.9,6.3,-27.7,31.8,350.9,5.3,51.8,,8.6,11.6,80.24
"Berlin, Deutschland",1997 1997,30.9,-18.9,8.3,-27.3,31.1,562.9,2.93,66.6,,10.1,13.3,78.17
"Berlin, Deutschland",1998 1998,33.2,-13.3,8.6,-19.9,31.8,1005.8,5.95,53.6,,10.5,14.6,79.98
"Berlin, Deutschland",1999 1999,33.9,-10.9,9.2,-13.6,34,423,6,29.5,,10.8,13.8,78.23
"Berlin, Deutschland",2000 2000,35.2,-10.6,9.5,-15.8,33.7,601.7,4.82,27.7,,10.7,12.2,82.37
"Berlin, Deutschland",2001 2001,33.2,-12.3,8.3,-19.1,33.7,1137.4,9.27,57.6,,10,36.3,86.78
"Berlin, Deutschland",2002 2002,32.4,-15.1,8.7,-22.8,33.1,830.2,14.36,64.8,,10.2,52.9,86.32
"Berlin, Deutschland",2003 2003,34.4,-16.9,9.2,-25.1,32.7,371.44,7.67,71.3,,11.1,39,78.26
"Berlin, Deutschland",2004 2004,29.6,-11.3,8.5,-18.2,28.9,474.2,5.05,108,,11,50,85.12
"Berlin, Deutschland",2005 2005,33,-11,10.1,-17.2,31.8,0,,49.6,,9.7,43.4,75.92
"Berlin, Deutschland",2006 2006,35.8,-17.4,10.8,-25,33.6,0,,45.5,,9.6,40.7,74.3
"Berlin, Deutschland",2007 2007,36.1,-7,11,-13,35.2,0,,54,,10,48,75.98
"Berlin, Deutschland",2008 2008,0.7,0.7,0.7,-3,,0,,12.3,,1.3,90,93.37
"Berlin, Deutschland",2009 2009,32.1,-17.6,10.2,-23.9,30.5,0,,49.1,,9.5,44.9,73.49
"Berlin, Deutschland",2010 2010,37.1,-18.1,8.8,-25,35.6,0,,54.6,,9.4,50.4,74.38
"Berlin, Deutschland",2011 2011,32.1,-12.3,10.7,-18.1,31.7,0,,51.9,,9.7,40.3,72.4
"Berlin, Deutschland",2012 2012,35.1,-18.3,10,-24.2,35.1,0,,50,,9.7,44.5,74.47
"Berlin, Deutschland",2013 2013,34.1,-12.8,9.9,-17.5,33.7,0,,55,,9.1,32.1,75.56
"Berlin, Deutschland",2014 2014,33.9,-13.8,11.4,-23.8,32.2,0,,46.4,,9,41.9,74.33
