Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Bern, BE, Schweiz",1991 1991,31.8,-15.7,8.4,-19.3,30.7,611.57,1.77,46.9,,8.3,17.6,77
"Bern, BE, Schweiz",1992 1992,32.7,-13.5,9,-18.9,32.1,693.94,1.72,60,,8.1,19.1,77.74
"Bern, BE, Schweiz",1993 1993,31.1,-12.9,9.1,-18.5,31.4,730.95,3.27,64.8,,8.6,45.6,77.41
"Bern, BE, Schweiz",1994 1994,33.1,-9.2,10.5,-14.1,34.1,913.99,2.25,117.8,,8.8,51.7,79.03
"Bern, BE, Schweiz",1995 1995,33.1,-18.6,9.3,-18.9,34.7,804.65,1.42,61.6,,8.9,46.5,76.91
"Bern, BE, Schweiz",1996 1996,34.1,-12.9,8.5,-18.8,33,709.18,0.44,45.4,,8.1,50,77.91
"Bern, BE, Schweiz",1997 1997,31.1,-12.9,9.7,-18,32,699.43,0.76,58.2,,8.7,45.6,76.13
"Bern, BE, Schweiz",1998 1998,35.1,-11.9,9.3,-16.5,35.4,602.63,0.6,64.5,,9.5,45.9,74.31
"Bern, BE, Schweiz",1999 1999,34.1,-20.9,9.1,-18.8,32.2,407.87,1.87,68.4,,9.2,36.9,78.9
"Bern, BE, Schweiz",2000 2000,29.8,-11.8,9.3,-17,30.5,1273.16,0.39,55.3,,9.3,32.8,76.45
"Bern, BE, Schweiz",2001 2001,32.1,-14.8,9.2,-23.5,31.7,1521.76,0.14,67.9,,9.4,28.8,77.25
"Bern, BE, Schweiz",2002 2002,32.9,-12.6,9.8,-15.8,33.8,1577.51,0,101.7,,8.7,21.2,78.24
"Bern, BE, Schweiz",2003 2003,37.1,-16,9.8,-18.6,36.6,964.14,0.79,45.6,,9.3,15.9,74.2
"Bern, BE, Schweiz",2004 2004,30,-10.6,9.1,-14.3,29.1,1259.95,1.24,48,,10.1,19.5,77.2
"Bern, BE, Schweiz",2005 2005,33.1,-15.5,8.8,-18.7,32.6,997.71,4.77,40,133.6,10.3,17.7,76.7
"Bern, BE, Schweiz",2006 2006,33,-11.5,9.4,-14.7,32.1,1484.6,2.79,49.2,104,10.1,18.9,79.47
"Bern, BE, Schweiz",2007 2007,30.5,-10.2,9.6,-11.9,30.6,1446.75,3.54,36.3,89.5,10.3,18.3,79.11
"Bern, BE, Schweiz",2008 2008,31.2,-9.6,9.2,-9.8,30.7,1082.6,9.9,39.2,6.4,10.7,17.5,79.23
"Bern, BE, Schweiz",2009 2009,33.4,-14.9,9.6,-15.3,32.3,1078.89,7.38,41,93.5,10.6,17.4,78.06
"Bern, BE, Schweiz",2010 2010,33.2,-14.8,8.7,-18.3,34.4,937,8.99,37.9,89.2,10.2,18.7,77.79
"Bern, BE, Schweiz",2011 2011,33.1,-9.9,10.1,-11,32.6,795.76,4.66,31.2,91.9,9.9,18.7,77.17
"Bern, BE, Schweiz",2012 2012,34.8,-18.5,9.4,-24.9,34.4,1128.2,3.29,35,81.5,9.5,18.4,78.83
"Bern, BE, Schweiz",2013 2013,34.1,-12.4,8.8,-13,34.1,1097.45,4.88,32.3,76,8.3,19.7,80.89
"Bern, BE, Schweiz",2014 2014,31,-11.7,10.1,-15,31,1041.18,5.5,36.9,74.7,8.7,19,81.21
