Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Brasília, DF, Brasil",1991 1991,33.1,4.7,21.5,-0.4,35.2,3555.94,,138.5,,12.5,49.5,68.76
"Brasília, DF, Brasil",1992 1992,31.1,-2.8,21,,37.9,2423.76,,202.5,,12.9,52.9,71.93
"Brasília, DF, Brasil",1993 1993,36.1,9.9,21.9,,33.9,2201.07,,202.4,,12.7,44,65.31
"Brasília, DF, Brasil",1994 1994,40.5,5.3,22,2.1,42.9,3023.2,,195.3,,12.9,46.5,66.14
"Brasília, DF, Brasil",1995 1995,34.1,-4,21.7,4.1,36.1,2506.2,19,195.3,,12.9,47.8,68.89
"Brasília, DF, Brasil",1996 1996,35.1,1.8,21.6,-2.2,38.7,1897.13,,99.6,,12.7,48.1,67.49
"Brasília, DF, Brasil",1997 1997,34.1,7.4,21.4,7.8,33.6,2068.44,12,178.8,,12,50.1,69.5
"Brasília, DF, Brasil",1998 1998,50.4,8.1,22.5,6.2,42.5,1571.27,,114.3,,12.3,45,65.57
"Brasília, DF, Brasil",1999 1999,33.1,9.1,21.6,8.3,33.1,974.72,2.98,106.8,,12.2,45.2,65.84
"Brasília, DF, Brasil",2000 2000,35.1,5.6,22.3,0.4,33.3,1773.31,6,178.8,,12.3,46.8,67.7
"Brasília, DF, Brasil",2001 2001,35.1,2.2,22.2,-3.5,32.9,1692.81,,132.6,,12.3,45.9,67.78
"Brasília, DF, Brasil",2002 2002,34.1,9.1,22.3,9,33.4,537.2,,100.1,,13,43.2,65.72
"Brasília, DF, Brasil",2003 2003,33.4,0.5,21.2,-3,32.5,62.7,,74.2,,13.2,50.1,68.7
"Brasília, DF, Brasil",2004 2004,35.1,5.6,22.6,4,40.2,0.5,,92.5,,12.8,55.8,71.25
"Brasília, DF, Brasil",2005 2005,33.7,8.1,21.2,6.8,36.2,508,10,92.5,,12.9,53.8,70.87
"Brasília, DF, Brasil",2006 2006,33.1,1,20.7,-0.6,30.8,1609.7,,74.2,,12.9,54.6,71.09
"Brasília, DF, Brasil",2007 2007,34.1,8.1,21.4,7.8,32.3,1050.9,,64.8,,12.8,41.6,64.42
"Brasília, DF, Brasil",2008 2008,35.2,7.1,21.3,6.8,33.1,1063.2,,101.9,,11.6,46,65.66
"Brasília, DF, Brasil",2009 2009,33.1,8.1,22,,32.7,979.1,,103.7,,11.9,52.9,66.11
"Brasília, DF, Brasil",2010 2010,34.1,8.1,22.4,8,31.6,931.8,,87.1,,11.8,38.6,55.71
"Brasília, DF, Brasil",2011 2011,33.6,9.1,21.6,8.6,31.2,863.4,,46.4,,11.8,41.5,63.66
"Brasília, DF, Brasil",2012 2012,35.1,10.1,21.9,,32.8,732.3,,46.4,,11.8,41.7,63.96
"Brasília, DF, Brasil",2013 2013,33.1,9.1,22.1,8,32.5,428.3,,61.2,,10.7,45.3,65.92
"Brasília, DF, Brasil",2014 2014,36.1,9.1,23.1,,33.4,0,,70.6,,9.8,41.6,59.43
