Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Brussels, Belgium",1991 1991,32.5,-13.1,9.8,-21.1,34.5,423.18,10.28,59,,11.1,59.4,79.92
"Brussels, Belgium",1992 1992,31.8,-6.9,10.5,-12.1,36.9,494.75,49.8,66.6,,11.5,60.6,80.82
"Brussels, Belgium",1993 1993,29.9,-10.6,10.2,-13.9,29.5,760.3,3.54,64.8,,11.7,63.7,79.13
"Brussels, Belgium",1994 1994,34.2,-8.9,11.1,-20.5,37.2,2023.84,53.18,59,,12.1,66.1,80.15
"Brussels, Belgium",1995 1995,33.9,-8.8,11,-13.6,37.2,562.68,1.86,61.2,,12.1,62.9,79.2
"Brussels, Belgium",1996 1996,32.2,-12.6,9,-18.8,32.9,382.93,2.05,76.9,,11.6,65.1,79.55
"Brussels, Belgium",1997 1997,31.6,-14.6,10.6,-21.2,33.4,583.87,1.54,78.1,,12,64,79.16
"Brussels, Belgium",1998 1998,34.9,-8.6,10.7,-11.7,35.7,416.74,8.52,82.8,,12.4,69.6,80.94
"Brussels, Belgium",1999 1999,30.3,-9.1,11.1,-10.8,29.6,278.22,3.81,54,,13.9,64.3,80.63
"Brussels, Belgium",2000 2000,32.1,-5.1,11.2,-8.5,33.6,992.63,0.22,57.6,,14.7,67,81.52
"Brussels, Belgium",2001 2001,33.4,-7.4,10.8,-13.4,33.2,1192.69,4.81,75.6,,14.4,65.5,80.79
"Brussels, Belgium",2002 2002,32.1,-6.9,11.4,-12.8,36.4,2047.53,1.8,66.6,,9.3,54.2,80.91
"Brussels, Belgium",2003 2003,35.1,-8.9,11.4,-15.5,37.8,968.88,5.32,67.2,,9.4,43.7,75.59
"Brussels, Belgium",2004 2004,31.1,-7.9,11,-9.3,31.5,1398.93,3.8,63,,9,53.1,78.17
"Brussels, Belgium",2005 2005,34.1,-6.9,11.2,-11.3,34.6,1471.4,5.03,85.3,46.4,9,51.5,78.34
"Brussels, Belgium",2006 2006,35.1,-7.9,11.3,-12,33.4,1398,2.6,53.6,72,9,45.4,77.67
"Brussels, Belgium",2007 2007,30.5,-6.9,11.3,-8.7,30.1,1438.9,,72.4,72,9,44.2,77.4
"Brussels, Belgium",2008 2008,30.7,-6.8,10.6,-10,30.9,734.37,2,54,,17.2,58,77.24
"Brussels, Belgium",2009 2009,33.6,-14.1,10.8,-18.5,34.1,978.36,6.49,44.4,97.2,18.8,47.6,76.16
"Brussels, Belgium",2010 2010,32.9,-8,9.5,-13.3,32.9,887.88,4.83,43.2,94.7,17.2,40.6,77.25
"Brussels, Belgium",2011 2011,33.3,-5.4,11.6,-10,33.8,810.79,4.14,47.4,89.4,18.8,22,74.96
"Brussels, Belgium",2012 2012,34.6,-12.6,10.6,-18.8,35.2,936.49,1.61,47.4,91.8,20,18.2,77.03
"Brussels, Belgium",2013 2013,33.7,-10,10.1,-12.2,34.7,749.9,5.58,56.4,97.2,19.4,13.2,76.7
"Brussels, Belgium",2014 2014,32.7,-5.6,11.9,-11.1,33,748.95,4.33,48,111.4,20.7,16.1,76.72
