Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"București, România",1991 1991,32.8,-17.5,10.3,-24.3,35,1429.7,19.32,68.9,,9.1,47.7,84.66
"București, România",1992 1992,38,-13.7,11.2,-17.5,37.9,825.54,7.06,236,,10.4,38,75.67
"București, România",1993 1993,38.1,-17.3,10.5,-22.7,41.5,1026.83,18.35,266.6,,10.3,39.7,76.61
"București, România",1994 1994,37,-17.6,12.5,-31.9,40.2,1181.87,4.57,266.7,,10.5,43.5,74.83
"București, România",1995 1995,36.5,-16.9,11.2,-20,35.8,1564.26,11.25,75.6,,9.8,52.1,75.71
"București, România",1996 1996,37.8,-15.3,10.3,-24.4,40.9,416.1,8.2,71.3,,10.6,54.3,77.61
"București, România",1997 1997,37,-18.9,10.6,-23.9,39.7,2403.81,8.68,115.2,,9.7,51.9,76.13
"București, România",1998 1998,38.4,-19.9,11.2,-24.5,38.2,698.43,10.74,86.4,,9.3,44.5,74.76
"București, România",1999 1999,36.1,-12.9,11.9,-14.3,40.9,392.18,4.06,79.9,,9.2,45.9,79.43
"București, România",2000 2000,41.1,-19,12.3,-26.3,40.9,625,11.39,281.2,,9,37.7,72.07
"București, România",2001 2001,37.1,-12.3,11.9,-20,37.2,938.33,6.13,55.2,,9.3,42.3,71.55
"București, România",2002 2002,38,-24.5,11.9,-24.3,40.6,969.65,10.9,54,,8.9,47,70.49
"București, România",2003 2003,37,-18.5,11.2,-22.1,36,578.2,7.61,54,,8.3,39.9,72.05
"București, România",2004 2004,34.3,-19.1,11.2,-23.3,36.2,717.6,5.66,45.4,,8.5,39.5,76
"București, România",2005 2005,35.8,-22.5,11,-23.6,39.4,1095.6,12.88,43.9,36,8.3,43.4,77.29
"București, România",2006 2006,36.8,-18.2,11.6,-28.5,38.5,537.3,3.8,48.2,43.2,8.4,40.4,73.93
"București, România",2007 2007,40.3,-11.9,12.4,-14.9,40.5,466.4,1.58,38.9,46.8,8.8,43.9,67.77
"București, România",2008 2008,37.9,-14.1,11.8,-17,36.5,338.5,14.37,38.2,,9,46.9,71.24
"București, România",2009 2009,35.9,-15.1,11.7,-17.5,35.8,574.2,9.59,32.7,57.6,8.7,49,71.92
"București, România",2010 2010,36.1,-24.3,11.1,-29.6,36.8,650.5,12.5,34.8,50.4,8.3,51.4,75.34
"București, România",2011 2011,35.9,-16.7,10.8,-18.9,36.9,418.6,9.83,31.9,75.6,8.4,44.8,73.82
"București, România",2012 2012,40,-23.5,11.8,-27.7,39.3,727.38,21.51,41.7,79.2,8.6,41.2,73.53
"București, România",2013 2013,36.8,-15.3,12.4,-17.1,36.4,177.4,5.06,44.7,61.2,7.1,32.3,72.92
"București, România",2014 2014,36.4,-16.4,12.3,-25.4,38.7,373.8,2.33,48.7,46.8,7,39.3,76.87
