Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1991 1991,37.7,-1,17.4,-7.7,42.9,1952.12,,105.9,,10.1,45.3,75.13
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1992 1992,35.1,-1.9,16.7,-4.8,42,2371.95,,105.4,,10.3,43.3,73.69
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1993 1993,47.7,-2.6,17.4,-5.1,40.8,2376.89,99,100.9,,10.1,45,74.11
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1994 1994,37.1,0.7,17.9,-3.4,45.4,3347.69,7.29,118,,10.2,50.5,72.23
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1995 1995,39.1,-1.9,17.5,-5.6,41.4,4652.18,10.03,102.6,,10.3,45.3,69.37
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1996 1996,34.9,-3.6,18,-3.9,39.5,1330.05,8.5,114.8,,10.3,42.2,71.92
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1997 1997,34,0.8,18.1,-1.5,40.2,1429.2,,79.6,,10.3,50.5,72.35
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1998 1998,35.1,3.1,17.7,-1.5,36.6,966.63,,71.2,,10,49.5,73.5
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1999 1999,35,0.9,17.5,-4.3,38.2,381.34,3.02,98.9,,10.1,50.4,71.42
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2000 2000,38.1,0.1,17.4,-3.4,37.7,1507.96,,82.3,,9.6,45.9,71.72
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2001 2001,35.1,0.6,18.1,-2.6,42.2,1639.75,97,94.3,,10.4,48.5,75.3
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2002 2002,34.5,-1.9,17.9,-5.4,40.7,1498.66,,69.5,,9.9,45,73.11
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2003 2003,36.1,0,17.5,-1.4,42.1,1156.44,,97,,9.8,36.8,71.85
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2004 2004,36.3,-0.9,17.9,-3.9,37.2,976.2,,66.4,,9.8,34.2,72.57
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2005 2005,35.7,1.1,17.8,-0.7,41.7,840.34,,57.7,,9.8,32.3,71.34
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2006 2006,34.2,0.1,18.1,-2.7,40.7,1187.9,87,66.6,,9.8,32.7,71.37
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2007 2007,36.1,0.1,17.1,-4.8,42.1,1330.38,4,64.5,,9.6,33.4,73.19
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2008 2008,37.1,-0.9,18.2,-2.5,43.7,1053.34,,75.5,,9.7,31.5,71.53
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2009 2009,36.4,-2.4,17.9,-3.3,39.2,1271.04,,56.7,,9.9,29.2,70.53
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2010 2010,36,-1.7,18,-1.9,39.3,1829.9,,54.5,,9.6,31.7,71.71
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2011 2011,35.1,1.6,17.9,-2.4,39.6,1051.97,,53.2,,9.8,31.4,69
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2012 2012,37.6,1.1,18.3,-2.9,44.5,2261.7,,80.3,,9.6,38.2,71.73
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2013 2013,37.9,1.1,18.1,-3.4,46.2,1003.03,17,49.3,,9.4,29.7,67.42
"Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2014 2014,35.9,2.1,18.5,-0.7,45.5,2188.03,,59,,9,32,70.9
