Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"København, Hovedstaden, Danmark",1991 1991,30,-7.9,8.4,-14,30.7,605.48,,67.5,,9.6,51.6,79.28
"København, Hovedstaden, Danmark",1992 1992,31.1,-7.1,9.3,-12.5,30.7,519.42,,64.6,,9.4,46.2,75.41
"København, Hovedstaden, Danmark",1993 1993,25.6,-8.1,7.8,-14.4,,785.87,4.94,85.7,,10.1,53,78.18
"København, Hovedstaden, Danmark",1994 1994,31,-11.9,8.9,-13.8,30.6,40.64,,58.4,,9.4,55.6,78.33
"København, Hovedstaden, Danmark",1995 1995,28.2,-14.9,8.3,-20.4,28.7,19.89,,59.8,,9.2,52.6,76.99
"København, Hovedstaden, Danmark",1996 1996,27.1,-18.9,6.9,-23.6,27.7,25.2,,66.2,,8.8,53.8,80.83
"København, Hovedstaden, Danmark",1997 1997,29.1,-16.9,8.2,-23.3,30.6,82.11,,65.7,,9.2,50.3,81.46
"København, Hovedstaden, Danmark",1998 1998,24.1,-11.9,8.1,-17.9,,397.35,99,57.5,,9.2,58.3,85.05
"København, Hovedstaden, Danmark",1999 1999,28,-14.9,8.7,-18.6,27.8,497.48,2.91,89.7,,9.4,53.9,85.44
"København, Hovedstaden, Danmark",2000 2000,30.9,-12.4,9.3,-17.8,31.5,1434.79,,69.7,,11,45.8,84.74
"København, Hovedstaden, Danmark",2001 2001,29.8,-12.4,8.5,-18.4,31.9,1116.42,,65.7,,10.4,41.7,83.75
"København, Hovedstaden, Danmark",2002 2002,28.6,-10.8,9.2,-16.8,30.5,995.27,,78.6,,10,37.8,82.34
"København, Hovedstaden, Danmark",2003 2003,26.9,-14.7,8.7,-19.1,27.5,966.31,,55,,9.9,34,80.41
"København, Hovedstaden, Danmark",2004 2004,26.8,-11.8,8.6,-16,26.8,699.31,,49.7,,10.3,33.3,81.37
"København, Hovedstaden, Danmark",2005 2005,28.6,-13.5,9.1,-17.5,27.8,1102.67,,68.4,140.8,14.1,22.1,80.35
"København, Hovedstaden, Danmark",2006 2006,28.6,-9.9,9.7,-16.4,28.5,1055.43,,53.5,90.7,12.3,25.5,81.17
"København, Hovedstaden, Danmark",2007 2007,28.6,-6.8,9.9,-12.9,27.7,1054.36,,61.3,103.7,11,33.3,79.99
"København, Hovedstaden, Danmark",2008 2008,28.3,-5.8,9.9,-11.4,27.7,723.74,,52.6,,11,30.4,77.78
"København, Hovedstaden, Danmark",2009 2009,28.3,-8.9,9.5,-13,28.1,693.39,,65.8,205.2,11.4,31.4,79.76
"København, Hovedstaden, Danmark",2010 2010,29.1,-12.3,7.8,-18,30.4,808.64,,44.9,162,10.8,32.5,83.03
"København, Hovedstaden, Danmark",2011 2011,26,-7.2,9.5,-13.2,,855.1,,66.1,219.6,10.1,29.8,81.96
"København, Hovedstaden, Danmark",2012 2012,29.6,-11.4,8.9,-17.8,30.4,642.23,,50.4,190.8,12.3,30.5,79.05
"København, Hovedstaden, Danmark",2013 2013,28.4,-9.5,9,-14.8,29.6,526.9,,73.5,167.7,16.9,28,78.76
"København, Hovedstaden, Danmark",2014 2014,28.8,-7.6,10.4,-15.2,28.5,1373.59,,59.2,95.2,16.9,31.3,80.29
