Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Canberra, ACT 2600, Australia",1991 1991,36.9,-3.1,13.3,-3.9,34.3,1395.2,,65.6,,36.8,40.7,67.78
"Canberra, ACT 2600, Australia",1992 1992,37.1,-5.3,12,-4.5,35.6,1513.57,,54.3,,36.5,48.2,75.42
"Canberra, ACT 2600, Australia",1993 1993,35.6,-5.6,12.5,-5.9,34.2,1363.77,,42.5,,35.7,43.4,73.54
"Canberra, ACT 2600, Australia",1994 1994,37.1,-6.9,12.7,-5.3,34.7,867.21,,63,,37.6,38.9,65.22
"Canberra, ACT 2600, Australia",1995 1995,32.5,-4.1,12.4,-4,30.9,1594.2,,46.4,,35.2,41.4,71.84
"Canberra, ACT 2600, Australia",1996 1996,33.3,-5.7,12.3,-3.6,33.2,1686.96,,56.7,,35,40,68.47
"Canberra, ACT 2600, Australia",1997 1997,36.7,-6.4,13.2,-5.9,34.2,879.86,,56.7,,36.9,27.2,64.44
"Canberra, ACT 2600, Australia",1998 1998,37.5,-6.3,13.6,-3.6,35.9,1292.02,,52.9,,35.8,30.5,67.27
"Canberra, ACT 2600, Australia",1999 1999,37.1,-5.6,13.7,-6.3,35.2,661.95,3.28,46.4,,19.9,37.8,66.75
"Canberra, ACT 2600, Australia",2000 2000,35.1,-5.8,13.1,-7.3,33.5,1522.52,,64.8,,17.2,34.8,70.52
"Canberra, ACT 2600, Australia",2001 2001,39.1,-5.4,13.7,-6.8,38.4,961.15,,53.6,,18.8,33.6,68.21
"Canberra, ACT 2600, Australia",2002 2002,36.4,-5.9,13.9,-8.2,34.2,1053.01,,85.6,,20.2,31,64.46
"Canberra, ACT 2600, Australia",2003 2003,39.1,-5,13.8,-8.3,36.6,1184.96,,55.4,,20,34,66.82
"Canberra, ACT 2600, Australia",2004 2004,38.4,-6.3,13.9,-8.8,37.9,1270.86,,110.9,,19,33.2,65.21
"Canberra, ACT 2600, Australia",2005 2005,38.4,-3.9,13.7,-7.2,35.8,1369.5,,59.4,,17.6,36.3,67.9
"Canberra, ACT 2600, Australia",2006 2006,39.1,-5.4,13.8,-8.6,37.5,813.77,,55.4,,15.2,33.5,63.51
"Canberra, ACT 2600, Australia",2007 2007,39.4,-4.2,14.2,-6.6,36.3,1346.94,,53.6,,15,39.5,67.27
"Canberra, ACT 2600, Australia",2008 2008,35.1,-4.6,13.3,-7.1,33.5,1206.7,,59,,15.5,38.8,66.02
"Canberra, ACT 2600, Australia",2009 2009,39.6,-4.9,14.2,-5.1,37.8,1235.7,,53.6,,15,41.1,64.81
"Canberra, ACT 2600, Australia",2010 2010,38.1,-3.9,13.2,-7.2,35.8,2121.56,,55.4,,13.3,45.6,71.35
"Canberra, ACT 2600, Australia",2011 2011,37.1,-6.9,12.8,-10.7,35.7,1427.81,,56.1,,11.1,47.6,71.52
"Canberra, ACT 2600, Australia",2012 2012,35.1,-6.1,12.4,-9.2,60.1,1440.64,,51.8,,10.4,40.2,70.73
"Canberra, ACT 2600, Australia",2013 2013,40.2,-5.9,13.5,-8.5,38.1,699.74,,57.6,,9.9,35.9,67.35
"Canberra, ACT 2600, Australia",2014 2014,39.1,-7.9,13.7,-7.8,36.4,710.58,,53.6,,9.6,36.9,70.25
