Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Wien, Österreich",1991 1991,34.1,-15.9,9.8,-22,35.2,911.6,7.91,49,,10.9,31.3,73.19
"Wien, Österreich",1992 1992,36.2,-11.9,11.4,-14.4,37,583.27,3.8,58.5,,12.2,29.9,68.91
"Wien, Österreich",1993 1993,33.1,-16.9,10.2,-20.9,34.2,411.21,15.6,62.3,,11.7,25.3,71.32
"Wien, Österreich",1994 1994,35.1,-13.6,12,-16.8,36.2,931.95,6.95,55,,13.7,23.6,71.47
"Wien, Österreich",1995 1995,34.1,-12.9,10.8,-18.2,36,398.02,8.04,59.8,,13.1,26.2,74.03
"Wien, Österreich",1996 1996,31.5,-20.8,9.2,-24.5,32.1,357.93,12.65,88.5,,11.9,28.4,76.52
"Wien, Österreich",1997 1997,31.6,-12.9,11.1,-16.8,32.6,617.97,18.57,60.9,,15.4,25.9,74.55
"Wien, Österreich",1998 1998,35.5,-13.6,10.9,-18.9,37.4,500.58,5.84,62.5,,18.6,41.1,72.87
"Wien, Österreich",1999 1999,35.1,-10.5,11,-18.9,37,465.99,3.24,61.5,,16.2,39.5,76.12
"Wien, Österreich",2000 2000,37,-13.2,12.1,-20.8,37.7,1510.51,13.9,68.6,,14.3,31.8,71.3
"Wien, Österreich",2001 2001,36,-12.9,10.9,-22.6,35.7,1547.17,4.21,59.3,,13,36,72.81
"Wien, Österreich",2002 2002,35.1,-12.9,11.8,-19.2,38.2,1757.17,3.93,53.1,,13.6,25.7,73.47
"Wien, Österreich",2003 2003,37.1,-11.7,12.1,-16.3,39.2,483.77,6.81,46.9,,22.1,1.9,69.47
"Wien, Österreich",2004 2004,32,-10.4,11.4,-16,34.1,1178.49,9.45,51.7,,22.8,8.9,71.39
"Wien, Österreich",2005 2005,35.8,-15.9,11.1,-20.2,39.3,729.43,9.6,49.5,72,17.1,5.6,72.15
"Wien, Österreich",2006 2006,35.1,-17.4,11.1,-26.8,36.3,1540.56,7.45,50.6,72,15.7,36.8,74.05
"Wien, Österreich",2007 2007,37,-9.7,12.1,-11.5,39.1,1777.88,4.92,63.2,82.8,17.6,37.7,71.17
"Wien, Österreich",2008 2008,34.3,-11.5,11.8,-17.1,37.4,1383.14,2.5,64.3,,17.2,38,73.12
"Wien, Österreich",2009 2009,34.8,-12.9,11.4,-21.9,37.6,1946.08,6.55,52.3,111.6,17,39.4,74.36
"Wien, Österreich",2010 2010,34.3,-15.4,10.2,-21.5,36.6,1715.46,10.15,54.4,154.8,16.5,40.8,73.61
"Wien, Österreich",2011 2011,36,-11.1,11.3,-16.9,40,1159.78,3.43,53.5,111.6,18.1,35,72.56
"Wien, Österreich",2012 2012,37.5,-15.8,11.6,-23.6,41.6,1275.62,3.83,52.3,100.8,19.4,34,70.6
"Wien, Österreich",2013 2013,38.3,-13.9,11.1,-20.5,42.9,1490.36,9.9,53.2,93.6,18.9,40.2,73.5
"Wien, Österreich",2014 2014,34.1,-11.4,12.3,-16.8,34.5,1595.92,2.08,60.2,100.8,18.7,25.8,73.08
