Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Dublin, Ireland",1991 1991,24,-5.4,9.8,-11.4,,344.86,4.6,80,,22.1,69.5,80.04
"Dublin, Ireland",1992 1992,23.3,-4.7,9.9,-8.6,,353.79,2.5,58.9,,25.2,68.6,79.74
"Dublin, Ireland",1993 1993,22.5,-1.6,10.7,-6.9,,546.2,41,83.2,,26.4,74.9,80.85
"Dublin, Ireland",1994 1994,21.5,-2.7,9.5,-9,,618.14,2.71,64.3,,25.8,75,84.58
"Dublin, Ireland",1995 1995,27.2,-7.3,10.1,-10.1,27.3,707.71,5,88,,26.6,70.8,85
"Dublin, Ireland",1996 1996,23.8,-4.4,9.1,-8.5,,653.78,2.86,58.9,,25.1,75.2,86.98
"Dublin, Ireland",1997 1997,23.5,-3.7,10.1,-4.5,,348.25,4.48,44.3,,23.9,74.8,85.62
"Dublin, Ireland",1998 1998,23.5,-4.2,10,-7.4,,390.29,1,75.6,,25.8,75.9,86.63
"Dublin, Ireland",1999 1999,25.2,-5.4,10,-10.7,,253.23,3.4,68.4,,26.6,73.9,83.94
"Dublin, Ireland",2000 2000,25.1,-6.9,9.5,-13.6,,1108.27,4.7,68.4,,26.1,73,83.04
"Dublin, Ireland",2001 2001,26.2,-7,9.4,-12.4,,948.75,4.75,61.2,,27.1,72.1,82.73
"Dublin, Ireland",2002 2002,22.5,-5.4,10,-7,,1282.28,5,81.9,,25.9,76.7,82.95
"Dublin, Ireland",2003 2003,25.7,-4.9,10,-7.8,,927.59,136.5,57.6,,27.4,71.5,82.08
"Dublin, Ireland",2004 2004,24.4,-6.3,9.9,-10.1,,912.09,1,74.7,,29.3,74.9,82.67
"Dublin, Ireland",2005 2005,24.4,-3.1,10.1,-7.5,,627.1,,86.4,100.8,29.4,77.7,82.81
"Dublin, Ireland",2006 2006,26.8,-5.5,10.3,-10.9,27,748.79,,73.8,112,28.4,74.2,81.71
"Dublin, Ireland",2007 2007,22.3,-4,10.3,-7.6,,849.66,3.67,92.7,97.2,28.3,74,82.8
"Dublin, Ireland",2008 2008,22.3,-6,9.5,-9.4,,1012.95,,77.4,,28,75.5,82.89
"Dublin, Ireland",2009 2009,24.5,-6.5,9.6,-10.7,,969.47,5.32,68.3,109.8,29.3,74.9,84.95
"Dublin, Ireland",2010 2010,23.1,-11.8,8.5,-18.3,,709.37,5.74,66.6,102.6,29.1,73.1,84.86
"Dublin, Ireland",2011 2011,23.9,-5.5,10.1,-9.6,,735.69,1,66.7,104.4,29.3,74.8,83.29
"Dublin, Ireland",2012 2012,23.1,-4.9,9.4,-8.1,,888,0,68.5,109.8,28.8,75.9,84.88
"Dublin, Ireland",2013 2013,26.2,-4.6,9.6,-10.1,,577.92,1.73,70.9,115.2,18,72,82.71
"Dublin, Ireland",2014 2014,24.1,-3.2,10.2,-7,,32.1,,82.2,79.2,9.6,71.2,83.47
