Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Hà Nội, Việt Nam",1991 1991,36.1,8.9,24.6,5.7,45.9,239.7,,151.2,,17.4,80.1,79.87
"Hà Nội, Việt Nam",1992 1992,38.1,8.1,25.2,,55.4,771,,43.2,,9.3,65,81.47
"Hà Nội, Việt Nam",1993 1993,38.1,0.1,23.8,4.4,52.3,513.5,0,54,,8.7,64.5,84.75
"Hà Nội, Việt Nam",1994 1994,37.7,9.9,23.9,8.3,53.8,2334.2,,54,,8,70,89.08
"Hà Nội, Việt Nam",1995 1995,37.1,7.1,23.6,,55.3,1585.8,,54,,8.5,73.7,87.66
"Hà Nội, Việt Nam",1996 1996,38.1,6,23.6,3.6,56.7,2631.2,,58.5,,8.2,67.8,87.47
"Hà Nội, Việt Nam",1997 1997,39.1,11.1,24.2,,72,2927.93,,75.9,,8.8,73.4,85.02
"Hà Nội, Việt Nam",1998 1998,43.1,10,25,,57.7,2103.1,,79.2,,8.4,67,81.88
"Hà Nội, Việt Nam",1999 1999,36.1,6.1,24.2,4.6,51.2,900.51,2.77,60.3,,8.6,70,82.64
"Hà Nội, Việt Nam",2000 2000,36.1,9,23.7,6.2,50.9,2991.8,,73.2,,8.2,71.5,86.17
"Hà Nội, Việt Nam",2001 2001,36.1,6.1,23.4,,56.7,3989.6,,50.4,,8,69.9,88.28
"Hà Nội, Việt Nam",2002 2002,38.1,8.1,24.1,5.2,53.4,3040.5,,79.2,,7.7,70.2,85.16
"Hà Nội, Việt Nam",2003 2003,39.1,8.1,24.5,4.6,50.8,2959.9,,76.8,,7.6,53.2,83.02
"Hà Nội, Việt Nam",2004 2004,38.6,7.1,23.5,5,54.1,2269.71,,66.9,,9.9,60.8,82.33
"Hà Nội, Việt Nam",2005 2005,37.5,7.1,23.8,5.8,48.8,2262.02,,50.4,,8.5,65.7,81.48
"Hà Nội, Việt Nam",2006 2006,38.1,9.1,24.5,7.4,48.3,1977.29,,76.2,,7.7,60.3,78.1
"Hà Nội, Việt Nam",2007 2007,38.1,8.1,24.5,6.9,47.2,1955.03,,36,,8.1,62.1,76.26
"Hà Nội, Việt Nam",2008 2008,37.2,6.8,23.6,4.1,47.6,2763.69,,35.3,,9.2,62,76.43
"Hà Nội, Việt Nam",2009 2009,38.4,6.1,24.7,4.5,47,2031.3,,48.2,,8.7,58.3,75.48
"Hà Nội, Việt Nam",2010 2010,39.4,10.1,24.7,,51.2,1540.42,,46.4,,8.7,61.9,79.64
"Hà Nội, Việt Nam",2011 2011,38.6,8.1,23.2,5.6,51.7,2247.12,,53.6,,7.1,58.5,81.33
"Hà Nội, Việt Nam",2012 2012,39.1,8.1,24.1,5.3,48.3,2635.55,,46.4,,7.6,64.3,77.09
"Hà Nội, Việt Nam",2013 2013,39.1,7.1,24.1,5.7,48.3,2713.72,,40.7,64.8,8.2,58.9,74.08
"Hà Nội, Việt Nam",2014 2014,39.1,7.1,24.3,5.3,51.7,2426.03,,48.2,,7.8,62.6,78.79
