Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Helsinki, Etelä-Suomi, Suomi",1991 1991,28.1,-22.9,5.8,-29.2,28.1,0,5.58,64.6,,10.5,54.6,83.14
"Helsinki, Etelä-Suomi, Suomi",1992 1992,30.1,-19.9,6,-24.6,30.1,0,6.47,63.9,,11,56.1,80.23
"Helsinki, Etelä-Suomi, Suomi",1993 1993,27.1,-18.9,4.9,-27.7,26.4,0,5.1,139.6,,11.4,51.1,75.66
"Helsinki, Etelä-Suomi, Suomi",1994 1994,32.1,-26.9,5,-34,31.3,15,11.44,65,,13.4,53.4,78.25
"Helsinki, Etelä-Suomi, Suomi",1995 1995,28.1,-27.9,5.9,-29.2,28.3,0,5.47,79.6,,14.2,53.9,80.2
"Helsinki, Etelä-Suomi, Suomi",1996 1996,27.1,-26.9,4.7,-32,26.6,0,16.28,62.9,,13,53.9,80.97
"Helsinki, Etelä-Suomi, Suomi",1997 1997,30.1,-20,5.5,-28.5,28.6,0,7.15,62.8,,14.5,52.6,77
"Helsinki, Etelä-Suomi, Suomi",1998 1998,27.1,-20.9,5.3,-29.5,27.7,0,4.73,64.5,,12.2,57.7,80.69
"Helsinki, Etelä-Suomi, Suomi",1999 1999,29.4,-28.9,6.4,-36.9,28.8,471.38,10.63,44.3,,10.7,53.3,77.34
"Helsinki, Etelä-Suomi, Suomi",2000 2000,28.1,-20.6,7,-24.3,27.8,1453.38,4.01,44.3,,11.4,58,78.77
"Helsinki, Etelä-Suomi, Suomi",2001 2001,28.1,-25.2,5.6,-37,28.4,1411.02,8.01,65,,11.2,57.1,78.58
"Helsinki, Etelä-Suomi, Suomi",2002 2002,28.1,-26.6,5.8,-34.6,27.7,812.05,6.42,64.8,,11.8,49.5,75.33
"Helsinki, Etelä-Suomi, Suomi",2003 2003,30.4,-30.9,5.3,-34.3,30.8,1100.28,12.55,56.3,,11.2,53.6,79.23
"Helsinki, Etelä-Suomi, Suomi",2004 2004,28.4,-22.9,5.6,-28.9,28.6,1476,21.03,52.6,,11.2,56.1,80.88
"Helsinki, Etelä-Suomi, Suomi",2005 2005,28.7,-22.9,6.1,-27.1,28.2,1134.5,9.76,56.4,,11.1,51.9,80.38
"Helsinki, Etelä-Suomi, Suomi",2006 2006,29.7,-25.4,6.3,-32.4,28.4,1173.1,10.94,59.8,,10.8,47.2,79.1
"Helsinki, Etelä-Suomi, Suomi",2007 2007,27.5,-24.9,6.6,-32.6,28,1334.5,9.42,54.6,,11.4,52.1,81.04
"Helsinki, Etelä-Suomi, Suomi",2008 2008,26.7,-10.6,7.6,-17.3,,837.31,5.15,65.2,,27.7,59.9,78.63
"Helsinki, Etelä-Suomi, Suomi",2009 2009,27.9,-18.2,6.2,-22.9,27.2,592.8,14.56,41.6,,29,56.2,79.69
"Helsinki, Etelä-Suomi, Suomi",2010 2010,29.9,-22.5,5.1,-32.2,31.2,682.8,41.71,38.7,,26.4,57.7,81.31
"Helsinki, Etelä-Suomi, Suomi",2011 2011,28.5,-23.7,7.2,-31.2,28.6,777.54,48.46,53.9,,29.1,51,80.72
"Helsinki, Etelä-Suomi, Suomi",2012 2012,26.4,-26.2,6.1,-31.8,,877.4,28.68,43,,26.8,35.8,80.24
"Helsinki, Etelä-Suomi, Suomi",2013 2013,28.2,-20.5,7.3,-26.4,28.8,563.38,31.85,52.5,,21,23.7,77.78
"Helsinki, Etelä-Suomi, Suomi",2014 2014,29.4,-19.6,7.6,-24.7,29.2,646.38,7.42,49.2,,24.8,19,77.38
