Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Islamabad, Pakistan",1991 1991,42.6,1.2,20.3,-1.9,48.6,75,,177.5,,5.1,41,67.13
"Islamabad, Pakistan",1992 1992,43.1,0.1,20.7,-3.9,47.8,104,,61.2,,7.2,37.7,67.13
"Islamabad, Pakistan",1993 1993,43.4,0.1,21.6,-0.3,51.8,521,,133.2,,7.3,30.4,60.38
"Islamabad, Pakistan",1994 1994,44.4,0.1,21.4,2.5,55.1,141,,81.4,,7.4,41.2,64.2
"Islamabad, Pakistan",1995 1995,45.1,1.1,21,2.2,48.9,33,,92.5,,7.3,37.2,63.95
"Islamabad, Pakistan",1996 1996,42.1,-0.9,21.2,2.9,55.3,98,,103.7,,6.9,39,63.6
"Islamabad, Pakistan",1997 1997,41.1,0.1,20.6,0.6,58.2,134,,83.2,,7,44.7,66.75
"Islamabad, Pakistan",1998 1998,43.1,0.1,22.2,-0.2,54.1,197,,83.2,,6.1,38.8,62.83
"Islamabad, Pakistan",1999 1999,42.5,2.1,23.5,-3.7,49.1,243.81,2.76,89.5,,6.5,39.6,59.73
"Islamabad, Pakistan",2000 2000,43.1,0.1,24.7,-12.9,58.2,1074.93,,179.6,,6,37.1,56.18
"Islamabad, Pakistan",2001 2001,43.6,0.7,22.2,2.6,48.9,1132.21,,81.4,,7.1,32.5,57.19
"Islamabad, Pakistan",2002 2002,46.1,0.1,22.8,-6.4,49.9,1519.59,,120.8,,4.6,37.4,56.31
"Islamabad, Pakistan",2003 2003,44.1,1.1,21.7,2.9,48.3,2578.28,,92.8,,4.4,42.4,61.86
"Islamabad, Pakistan",2004 2004,42.1,1.1,21.8,0.6,47.8,1352.56,,111.2,,4.9,43,61.98
"Islamabad, Pakistan",2005 2005,46.1,0.1,21.2,-1.1,53.2,1927.26,,92.5,,5.7,44.4,63.07
"Islamabad, Pakistan",2006 2006,43.1,0.1,22.4,0.2,51,3621.36,,167,,6.1,45.4,62.6
"Islamabad, Pakistan",2007 2007,45.1,-0.9,21.8,-4,49.1,3504.15,,216,,6.5,41,62.01
"Islamabad, Pakistan",2008 2008,39.1,-1.7,21.5,1.6,46.9,3168.41,,99.9,,5.8,42.7,61.07
"Islamabad, Pakistan",2009 2009,45.1,1.2,21.4,3.1,49.1,1949.84,,92.5,,5.5,44.3,57.1
"Islamabad, Pakistan",2010 2010,43.1,-1,22.8,2,49.6,2521.7,,118.4,,5.2,41.5,58.25
"Islamabad, Pakistan",2011 2011,42.1,1,22.2,-3.8,51.8,2830.61,,111.2,,5,40,61.43
"Islamabad, Pakistan",2012 2012,45.1,0.6,22.1,-4.2,49.9,2940.92,,111.2,,5.1,43.5,56.32
"Islamabad, Pakistan",2013 2013,45.1,0,22.1,-1.2,51.2,7707.3,,111.2,,5.7,40.2,62.33
"Islamabad, Pakistan",2014 2014,43.1,-4.3,21.4,0.6,49.9,8452.67,,100.1,,5.8,40.7,61.69
