Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Jakarta, Indonesia",1991 1991,36.7,1.9,26.5,,43.3,3525.24,,159.1,,8.3,75.3,80.62
"Jakarta, Indonesia",1992 1992,38.9,10.6,26.5,,49.2,4608.52,,85.5,,8.3,77.5,82.83
"Jakarta, Indonesia",1993 1993,37.9,1.1,27.2,-3.7,44.9,6144.83,,83.3,,8.3,57.9,79.65
"Jakarta, Indonesia",1994 1994,37.4,13.5,27.2,,46.4,5039.12,,161.9,,7.9,60,76.82
"Jakarta, Indonesia",1995 1995,35.7,18.6,27.3,,48.5,5671.63,,105.4,,7.7,61.6,79.72
"Jakarta, Indonesia",1996 1996,36,10.2,27.3,,47.5,6142.26,,109.1,,7.5,61.1,79.7
"Jakarta, Indonesia",1997 1997,36.1,14.7,27.6,,46.4,3919.07,,192.7,,6.8,59.6,75.47
"Jakarta, Indonesia",1998 1998,39.1,15.2,28,,48.8,5582.79,,90.9,,7.1,68.3,80.36
"Jakarta, Indonesia",1999 1999,34.7,18.9,27.3,,44,3298.48,2.22,126.9,,7.3,65.6,80.56
"Jakarta, Indonesia",2000 2000,37.8,17.6,27.4,,46.8,4210.55,,58.4,,7.3,66.8,81
"Jakarta, Indonesia",2001 2001,34.6,18.7,27.3,,42.9,4919.69,,151,,7.7,65.4,81.2
"Jakarta, Indonesia",2002 2002,36.6,10.7,27.7,,49.8,5683.49,,187.2,,6.5,60.1,78.13
"Jakarta, Indonesia",2003 2003,35.3,15.4,28,,42.5,4115.27,,92.5,,7,64.5,74.08
"Jakarta, Indonesia",2004 2004,39,15.2,27.9,,46,3932.41,,107.8,,7,66.4,76.31
"Jakarta, Indonesia",2005 2005,35.1,15.5,27.9,,46.1,5177.43,,80.1,,6.8,67.9,78.3
"Jakarta, Indonesia",2006 2006,36.1,18.7,28,,47.4,3864.32,,42.5,,7.1,64.9,76.18
"Jakarta, Indonesia",2007 2007,36.1,17.4,27.9,,46.5,5460.63,,69.5,,7.1,66.1,77.21
"Jakarta, Indonesia",2008 2008,35.1,18.4,27.6,,48,3782.87,,40.7,,7.2,67.1,80.79
"Jakarta, Indonesia",2009 2009,35.3,21.1,28,,50.2,3255.63,,116.9,,7.2,62.7,78.64
"Jakarta, Indonesia",2010 2010,35.3,21.1,27.9,,44.1,4236.79,,40.7,,6.7,59.3,76.92
"Jakarta, Indonesia",2011 2011,36,21.1,28,,43.5,2473.39,,91.2,,6.8,56.2,73.08
"Jakarta, Indonesia",2012 2012,36.2,17.4,28.3,,44.1,2553.94,,44.3,,6.8,52.8,75.29
"Jakarta, Indonesia",2013 2013,35.1,22.7,28.1,,45.7,2900.07,,42.5,,6.5,57.6,76.64
"Jakarta, Indonesia",2014 2014,36.1,16.5,28.2,,51.2,2782.21,0,61.1,,6.2,58.1,75.87
