Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"ירושלים, ישראל",1991 1991,34.2,0.2,17.5,-4,34.7,692.35,,53.5,,9.5,24.9,67.25
"ירושלים, ישראל",1992 1992,38.1,-2.8,15.2,-9.3,39.4,975.66,,55.4,,9.2,27.3,67.84
"ירושלים, ישראל",1993 1993,43.1,-1.8,16.4,-5.1,44.7,593.26,,50.1,,9.4,23.1,64.32
"ירושלים, ישראל",1994 1994,39.6,0.6,16.9,-2.7,43.7,418.34,,51.8,,9.2,27,65.73
"ירושלים, ישראל",1995 1995,38.1,0.8,16.5,-4.4,40.2,188,,93.9,,9.4,21.6,65.02
"ירושלים, ישראל",1996 1996,37.3,0.6,17.1,-5.2,38.3,260.16,,111.3,,9.2,24.8,64.81
"ירושלים, ישראל",1997 1997,38.7,-6.1,16.4,-7.5,37.4,485.49,,59.2,,9.3,29.2,65.36
"ירושלים, ישראל",1998 1998,38.8,-1.5,17.6,-7.1,41.4,294.53,,49.2,,9.3,25.5,63.16
"ירושלים, ישראל",1999 1999,37.5,1.3,17.7,0.1,37.5,118.86,2.46,96.7,,9.4,24.8,63.1
"ירושלים, ישראל",2000 2000,38.9,-0.8,17.5,-5.8,41.2,1668.85,,50.8,,9.5,26.7,64.37
"ירושלים, ישראל",2001 2001,39.1,2,19.4,-1.2,39.1,1126.35,,72.3,,10.3,27.9,61.75
"ירושלים, ישראל",2002 2002,41,0.8,18.9,-5.1,40.6,1451.45,,64.5,,9.8,27.3,61.7
"ירושלים, ישראל",2003 2003,39.7,0.4,19.2,-6.5,37.3,1853.19,,55.4,,9.8,30,60.51
"ירושלים, ישראל",2004 2004,39.1,0.7,19.3,-6.2,37.2,974.4,,55.4,,9.9,28.2,60.2
"ירושלים, ישראל",2005 2005,35.5,2.4,19.3,-1.6,37.3,1036.37,,50.3,,9.9,26.8,59.13
"ירושלים, ישראל",2006 2006,36,1.1,19.4,-2.9,36.9,1060.1,,80.4,,9.9,29.4,60.2
"ירושלים, ישראל",2007 2007,38.1,1,19.9,-3.6,40.3,1094.93,,52.5,,9.9,28.8,61.7
"ירושלים, ישראל",2008 2008,37.1,-1,19.7,-6,36.5,655.08,,52,,10,24.8,56.73
"ירושלים, ישראל",2009 2009,36.7,2.2,19.6,-1.7,35.9,974.8,,48,,10.2,24.6,58.42
"ירושלים, ישראל",2010 2010,39.6,1.7,21,-2.2,41.6,856.21,,51.8,,10.5,21.1,56.74
"ירושלים, ישראל",2011 2011,36.3,2.9,18.9,-2.3,36.6,1173.08,,49.2,,10.9,23.3,60.99
"ירושלים, ישראל",2012 2012,38.3,1.9,19.8,-4.1,39.8,1096.77,,49.4,,10.4,20.9,59.43
"ירושלים, ישראל",2013 2013,38.1,-0.3,20,-6.9,35.7,1139.77,,49,,9.2,20,57
"ירושלים, ישראל",2014 2014,38.4,3.1,19.9,0.1,38.1,1106.16,,39.6,,9.7,17.3,59.94
