Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1991 1991,35.1,18,27.4,,46.4,1329.7,,37.1,,9.9,75.4,82.04
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1992 1992,39.4,7.9,27.2,,50.1,3258.2,,63,,14.9,85.6,81.24
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1993 1993,34.9,20.7,27.2,,43.1,2466.2,,110.9,,14.5,86.1,81.03
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1994 1994,36.4,19.6,27.3,,44.7,2484,,33.5,,12.2,82.7,80.12
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1995 1995,35.2,20.1,27.5,,43,2797.4,,74.2,,12.7,87.6,80.29
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1996 1996,38.6,12.5,27.6,,46.3,2662.1,,40.7,,12.6,88,79.08
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1997 1997,35.9,20.9,27.8,,49.5,2801,,37.1,,9.6,83,78.63
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1998 1998,36.9,9.7,28.6,6.5,51.7,2301.38,,79.6,,11.7,89.1,78.66
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",1999 1999,35.1,11,27.4,,42.6,884,1.75,74.2,,10.4,90,81.33
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2000 2000,35.2,21.4,27.8,,43.7,2732.2,,43.2,,11.1,89.9,79.65
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2001 2001,35.2,22.6,27.9,,43.7,2749.9,,42.5,,11.4,90,80.26
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2002 2002,36.1,22,28.2,,44.4,2907.8,,55.4,,10.5,90,78.6
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2003 2003,36.1,22.2,28,,45.5,2882.1,,37.3,,10.7,90,80.94
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2004 2004,36.1,21.6,27.8,,43.2,2870.6,,29.5,,10.3,90,79.14
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2005 2005,37.1,22.1,28.3,,54.3,2306.7,,46.4,,10.5,88.6,75.21
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2006 2006,35.1,22.1,27.5,,46,3813.8,,31.3,,10,89.1,78.48
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2007 2007,35.1,21.2,27.4,,43.1,2809.4,,36.8,,10.1,90.2,79.52
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2008 2008,34.9,22,27.2,,42.6,3264.5,,39.8,,9.7,90.6,79.06
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2009 2009,35.8,22.1,27.7,,43.3,2832,,31.4,,9.2,90.5,78.05
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2010 2010,36.2,23,28.5,,49.7,3180.4,,28.6,,9.3,90.3,81.67
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2011 2011,35.9,22.9,28.3,,53.3,3106.3,,55.2,,8.8,90.5,82.52
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2012 2012,35.9,23.1,28.2,,48.8,3991.11,,28.2,,9.3,90.2,82.55
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2013 2013,35.9,22.2,28,,51.4,1350.95,,38.4,,9,90,81.63
"Kuala Lumpur, Wilayah Persekutuan, Malaysia",2014 2014,37.5,21.9,28.1,,45.2,0,,28.2,,7.9,89.8,77.86
