Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Lima, Perú",1991 1991,29.2,12.2,19.6,,31.4,17.2,,107.3,,9.9,60.7,79.96
"Lima, Perú",1992 1992,31.4,10.1,20.7,,34.3,33.9,,113,,10.4,52.4,78.08
"Lima, Perú",1993 1993,30.1,0.1,20,,32.6,507.7,,113,,10,64.2,79.31
"Lima, Perú",1994 1994,29.1,13.1,19.6,,31.5,14.8,,110.9,,9.4,67.4,79.59
"Lima, Perú",1995 1995,31.1,9.1,19.3,,33.1,278.8,,113,,9.1,62.4,80.6
"Lima, Perú",1996 1996,29.1,12.1,18.4,,29.9,97,,59.4,,8.5,68.7,81.88
"Lima, Perú",1997 1997,33.1,16.6,22.2,,35.4,261.4,,74.2,,10,67,77.53
"Lima, Perú",1998 1998,33.1,14.1,20.9,,36.7,278.2,,92.5,,9.2,72.5,80.57
"Lima, Perú",1999 1999,30.2,13.1,19.4,,32.8,1.3,3.18,69.8,,8.8,58,82.62
"Lima, Perú",2000 2000,30.1,13.7,18.8,,30.5,4.5,,63,,7.5,63.5,84.31
"Lima, Perú",2001 2001,29.4,12.6,18.5,,32.1,122.3,20,37.1,,8.8,69.4,86.59
"Lima, Perú",2002 2002,31.1,14.1,19,,35.6,4.1,,83.2,,7.9,68.8,86.08
"Lima, Perú",2003 2003,29.1,13.1,18.8,,30.9,0.7,,39.6,,8.1,66.5,85.77
"Lima, Perú",2004 2004,29.2,14.1,19.3,,30.9,1.7,,37.1,,7.6,64.6,84.35
"Lima, Perú",2005 2005,30.1,7.1,19.1,,30.5,0.3,,46.8,,7.5,68.6,80.2
"Lima, Perú",2006 2006,29.4,13.9,19.7,,30.4,1.7,,31.3,,7.7,68,78.98
"Lima, Perú",2007 2007,30.1,13.1,18.6,,32,112.2,,31.3,,8.4,72.8,81.9
"Lima, Perú",2008 2008,32.1,14.9,19.8,,33.6,3.2,,29.5,,9,70.5,80.19
"Lima, Perú",2009 2009,30.1,14.1,19.9,,32,3.2,,31.3,,9,74.9,81.57
"Lima, Perú",2010 2010,30.1,13.1,19.3,,32,1.2,,57.6,,8.9,78,82.16
"Lima, Perú",2011 2011,30.1,14.1,19.5,,30.9,2.7,,38.9,,9.3,72.5,81.86
"Lima, Perú",2012 2012,30.2,14.6,20.3,,32,47.6,,46.8,,9.6,74.3,81.16
"Lima, Perú",2014 2014,21,21,21,,,0,,20.5,,10,95.7,82.99
