Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Lisboa, Portugal",1991 1991,42.1,2.1,16.7,-0.3,38.9,468.7,50,47.1,,10.5,28.5,66.81
"Lisboa, Portugal",1992 1992,39.1,3.1,16.7,0.9,39.3,210.5,,51.8,,10.5,27.1,69.49
"Lisboa, Portugal",1993 1993,39.1,0.1,16.2,-2.5,39.3,399,,51.8,,10.5,33.8,75.23
"Lisboa, Portugal",1994 1994,36.1,1.8,16.8,-0.8,35.5,351.4,,57.2,,10.9,36,75.29
"Lisboa, Portugal",1995 1995,41.1,3.1,17.9,0.1,41.1,455.7,,46.4,,11,38.5,70.78
"Lisboa, Portugal",1996 1996,35.5,3.1,16.9,0.6,36,550.8,,48.2,,11.2,38.8,75.67
"Lisboa, Portugal",1997 1997,35.3,3.9,17.9,2.3,36.8,423.24,,46.4,,11.4,43,75.36
"Lisboa, Portugal",1998 1998,37.5,1.9,16.8,-3,37.8,202.29,,38.9,,12.1,37.1,72.62
"Lisboa, Portugal",1999 1999,35.9,2.6,16.6,1.4,36.4,300.7,2.42,37.4,,13.2,38.9,73.36
"Lisboa, Portugal",2000 2000,36.9,2.3,16.6,-0.1,37.6,923.49,,47.3,,12.5,41,73.5
"Lisboa, Portugal",2001 2001,35.5,2.6,16.6,-2.5,34.7,739.63,,47.8,,12.6,38.4,73.84
"Lisboa, Portugal",2002 2002,36.2,5.7,16.8,3.2,34.6,916.27,,46.5,,12.7,14,71.75
"Lisboa, Portugal",2003 2003,41.6,1.8,17.2,-2.5,40.1,853.04,,51.4,,12.3,9.9,68.21
"Lisboa, Portugal",2004 2004,37.2,4.1,16.9,0.2,36.4,522.85,,44.1,,10.9,7.2,68.74
"Lisboa, Portugal",2005 2005,38.4,0.3,16.9,-5.2,36.2,464.7,,44.3,70.2,11.8,6.7,66.01
"Lisboa, Portugal",2006 2006,38.6,1.1,17.4,-5.9,37.8,1034.94,,50.1,86.8,11.4,7.5,72.86
"Lisboa, Portugal",2007 2007,39.5,3.6,16.8,-1.2,38.1,452.94,,45.9,72,11.6,6.1,71.6
"Lisboa, Portugal",2008 2008,34.5,5.3,16.7,2.9,35,653.32,,45.8,,11.3,6.2,71.33
"Lisboa, Portugal",2009 2009,35.4,1.3,17.5,-2,33.7,751.86,20,53.7,86.4,11.2,7,67.92
"Lisboa, Portugal",2010 2010,38.7,-2.3,17.2,-6.2,47.1,1067.18,,81.5,97.2,11.1,8.2,71.38
"Lisboa, Portugal",2011 2011,36.2,4.1,17.6,-1.2,37.4,761.58,,46.9,95.9,10.8,5.6,70.66
"Lisboa, Portugal",2012 2012,36.3,2.8,16.8,-1.9,36.8,640.05,,39.6,75.1,11,5.5,69.89
"Lisboa, Portugal",2013 2013,38.6,2,16.9,0.9,39,744.77,,49.8,94.1,11,9.8,70.64
"Lisboa, Portugal",2014 2014,34.1,2.3,16.2,-2,33.7,607.06,,68.2,72,10.5,18.4,76.03
