Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Madrid, Comunidad de Madrid, España",1991 1991,39.8,-6,13.8,-9.8,38.1,487.17,,114.5,,11,33,59.9
"Madrid, Comunidad de Madrid, España",1992 1992,38.1,-6.4,13.7,-7.7,37.5,306.48,9,122.1,,11.3,30.1,59.63
"Madrid, Comunidad de Madrid, España",1993 1993,40.1,-6,13,-8.9,41.6,168.55,6.33,64.8,,11.1,34.9,63.22
"Madrid, Comunidad de Madrid, España",1994 1994,39.1,-6.9,15.1,-9.5,39.9,66.95,17.68,85.1,,12.3,34.7,61.55
"Madrid, Comunidad de Madrid, España",1995 1995,40.5,-4.9,15.7,-9.5,41.6,99.93,11.83,92.5,,12,39.2,59.07
"Madrid, Comunidad de Madrid, España",1996 1996,38.1,-3.3,15,-7.1,39.4,102.6,97.04,50.5,,11.4,41.1,60.72
"Madrid, Comunidad de Madrid, España",1997 1997,37.2,-2.9,15.8,-7.3,36.3,155.29,49.93,59.4,,11.1,42.8,61.2
"Madrid, Comunidad de Madrid, España",1998 1998,38.1,-5.9,14.8,-9,35.9,83.35,20,48.1,,11.4,37.1,60.43
"Madrid, Comunidad de Madrid, España",1999 1999,39.2,-7.9,14.6,-10.8,37.2,183.98,3.6,53.8,,11.6,36.4,58.13
"Madrid, Comunidad de Madrid, España",2000 2000,37.3,-3.7,14.4,-5.2,35.3,622.25,19.5,54.2,,11.1,36.1,59.4
"Madrid, Comunidad de Madrid, España",2001 2001,37.3,-9.2,14.5,-11.9,35.6,473.97,10,47,,11.4,38.3,59.63
"Madrid, Comunidad de Madrid, España",2002 2002,37.6,-2.7,14.3,-4.3,35.4,594.38,,48.3,,11.2,41.4,63.01
"Madrid, Comunidad de Madrid, España",2003 2003,39.6,-6.6,14.9,-8.4,36.8,645.6,3,50.7,,11.4,36.7,58.93
"Madrid, Comunidad de Madrid, España",2004 2004,38.3,-4.9,14,-8.8,36.5,611.91,,43.9,,11.2,31.9,58.69
"Madrid, Comunidad de Madrid, España",2005 2005,38.7,-9,14.5,-13.2,36.1,386.59,,53.8,,12.6,26.7,51.78
"Madrid, Comunidad de Madrid, España",2006 2006,37.8,-6.5,15.3,-9.8,35.5,737.82,1,54.3,,16.2,36,56.62
"Madrid, Comunidad de Madrid, España",2007 2007,38.8,-5.8,14.1,-9.5,36.3,602.5,2,58.2,88.9,16.6,33,57.3
"Madrid, Comunidad de Madrid, España",2008 2008,38.6,-5.1,14.3,-8.9,37,750.79,,50.8,,17.7,36.9,58.41
"Madrid, Comunidad de Madrid, España",2009 2009,37.7,-7.9,15.3,-11.1,35.6,519.06,5,54.4,85.3,18.3,31.4,54.08
"Madrid, Comunidad de Madrid, España",2010 2010,37.6,-5.5,14.2,-8.4,36.5,911.83,,52.5,88.9,18.1,37.2,59.8
"Madrid, Comunidad de Madrid, España",2011 2011,38.9,-5,15.3,-9.4,39,522,,48.5,81.4,18,30.9,58.77
"Madrid, Comunidad de Madrid, España",2012 2012,40.4,-6.2,14.7,-9.4,39.1,432.65,2,49.5,76,18.3,29.5,54.48
"Madrid, Comunidad de Madrid, España",2013 2013,38.5,-4.2,14.6,-7.1,37.8,281.1,,47,92.5,13.8,28.7,60.86
"Madrid, Comunidad de Madrid, España",2014 2014,37.8,-4.6,15.8,-6.8,35.2,0,,53.2,,9.6,25.6,58.49
