Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Ciudad de México, CDMX, México",1991 1991,34.1,-2.7,17.5,-7.7,31.7,1789.57,,105.4,,11.8,52.2,57.44
"Ciudad de México, CDMX, México",1992 1992,29,3.1,16.8,1.4,28.2,1508.6,,90,,13.4,61,62.72
"Ciudad de México, CDMX, México",1993 1993,31.1,2.1,17.5,-2.4,29,6072.15,,93.6,,13.6,47.9,55.51
"Ciudad de México, CDMX, México",1994 1994,30,-0.9,16.8,-4.1,29.2,4913.39,20.33,187.2,,11.8,48.8,52.94
"Ciudad de México, CDMX, México",1995 1995,33,-2.9,17.3,-1.4,31.8,2155.9,,71.9,,11,54.1,56.31
"Ciudad de México, CDMX, México",1996 1996,33,-2.9,16.1,-5.1,30.7,1799.77,55,85.3,,10.7,47.5,52.18
"Ciudad de México, CDMX, México",1997 1997,30,-3.6,16.5,-3.4,28.3,2242.73,,97.1,,10.5,55.4,52.84
"Ciudad de México, CDMX, México",1998 1998,33.1,-5.9,17.4,-4.9,30.7,2479.68,,64.8,,9.1,44.4,51.44
"Ciudad de México, CDMX, México",1999 1999,31.8,-3.9,16.2,-4.3,29.6,1202.74,2.93,101.8,,9.3,48.2,51.05
"Ciudad de México, CDMX, México",2000 2000,32.1,-2.9,16.1,-4.3,30,1728.35,,121.8,,9.1,52,50.52
"Ciudad de México, CDMX, México",2001 2001,32.1,-1.6,16.1,-3.7,32.5,1976.09,,130,,13.9,58.7,56.5
"Ciudad de México, CDMX, México",2002 2002,33.1,-4.9,16.7,-7.4,33.1,7201.22,,125.5,,13.8,57,54.91
"Ciudad de México, CDMX, México",2003 2003,33,-1.9,16.9,-3.5,32.3,13337.82,,56.7,,13.5,58.5,56.56
"Ciudad de México, CDMX, México",2004 2004,31.1,-3.9,16.4,-4,30.5,15629.39,99,58.5,,14.1,61.7,58.55
"Ciudad de México, CDMX, México",2005 2005,37.1,-0.9,17.2,-2.9,37.1,11061.3,18,52.4,28.8,14,56.5,53.66
"Ciudad de México, CDMX, México",2006 2006,37.1,-3.9,16.5,-4.2,35.6,2346.25,,48.2,36,14,55.4,57.3
"Ciudad de México, CDMX, México",2007 2007,37.1,-1.9,15.3,-4.3,35.6,2834.65,,102.8,162,12.3,57.8,62.84
"Ciudad de México, CDMX, México",2008 2008,31.1,-3.9,15.1,-7.2,30.7,2300.45,14,64.6,,11,55.3,60.85
"Ciudad de México, CDMX, México",2009 2009,36.1,-4.9,16,-6,33.7,2837.1,,51.8,32.4,11.6,56,57.38
"Ciudad de México, CDMX, México",2010 2010,39.1,-5.9,14.9,-9.5,36.2,2177.29,,52.9,28.8,11.5,55,58.21
"Ciudad de México, CDMX, México",2011 2011,38.1,-3.9,16.5,-4,36.4,2573.26,46,44.3,28.8,11.6,47.9,54.49
"Ciudad de México, CDMX, México",2012 2012,34.1,-1.9,16,-4.9,33.2,1996.54,,43.6,28.8,11.6,56.6,59.5
"Ciudad de México, CDMX, México",2013 2013,38.1,-5.9,16,-11.2,35.6,2709.34,,102.4,39.6,10.9,54.4,61.96
"Ciudad de México, CDMX, México",2014 2014,34.1,-2.9,17.3,-2.8,31.6,3472.9,270,74.8,39.6,10.9,58.3,58.59
