Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Москва, Центральный федеральный округ, Россия",1991 1991,32.7,-31,5.7,-41.9,34.7,0,,56.5,,8,59.6,79.18
"Москва, Центральный федеральный округ, Россия",1992 1992,32.1,-26.1,5.7,-33.4,33.6,0,10.21,65.3,,8.5,55.8,76.03
"Москва, Центральный федеральный округ, Россия",1993 1993,27.3,-28.1,4.3,-32.9,28.5,2047,23.45,48.3,,8.4,58,78.91
"Москва, Центральный федеральный округ, Россия",1994 1994,29.1,-29.9,4.4,-37.9,29.5,5929.2,44.5,46.8,,8.6,57,78.67
"Москва, Центральный федеральный округ, Россия",1995 1995,30.6,-24.5,6.1,-29.9,30.9,0,16.76,51.9,,8.6,54.7,78.46
"Москва, Центральный федеральный округ, Россия",1996 1996,35.1,-30.9,4.9,-37.3,36.3,300,27.4,41.7,,8.7,54.4,76.72
"Москва, Центральный федеральный округ, Россия",1997 1997,29.1,-30.5,4.8,-38.3,29.3,0,18.07,43.2,,8.6,62.1,78.34
"Москва, Центральный федеральный округ, Россия",1998 1998,33.5,-27,4.6,-37.4,34.8,103,20.62,43.2,,8.4,60.8,78.07
"Москва, Центральный федеральный округ, Россия",1999 1999,34.1,-28.5,7.4,-39.2,34.5,468.6,27.77,39.8,,8.6,54.5,73.97
"Москва, Центральный федеральный округ, Россия",2000 2000,29.6,-23.5,6.1,-31.8,29.2,814.8,23.26,39.6,,8.3,63.3,79.06
"Москва, Центральный федеральный округ, Россия",2001 2001,32.6,-23,5.3,-31.8,34.8,1007.1,30.34,46.8,,8.4,62.5,80.47
"Москва, Центральный федеральный округ, Россия",2002 2002,32.1,-28.5,5.6,-38.8,32.3,841.1,14.92,39.6,,8.4,56.1,72.75
"Москва, Центральный федеральный округ, Россия",2003 2003,29.5,-30,5.2,-40.9,29.5,2798,23.9,48.5,,8.4,64.2,78.17
"Москва, Центральный федеральный округ, Россия",2004 2004,29,-23.9,5.2,-29.8,29.9,2280.3,25.74,39.6,,8.5,65.2,78.77
"Москва, Центральный федеральный округ, Россия",2005 2005,30.4,-22.9,5.9,-28.7,30.3,928.8,27.66,45.1,46.8,8.3,60,75.92
"Москва, Центральный федеральный округ, Россия",2006 2006,30.7,-32,5.3,-43.9,32.2,727.5,30.35,39.8,,8.3,63.2,76.78
"Москва, Центральный федеральный округ, Россия",2007 2007,33.1,-24,6.9,-33,34.1,641.2,12.65,41.5,,8.8,58.5,74.61
"Москва, Центральный федеральный округ, Россия",2008 2008,32.6,-20.9,7.1,-28.1,32.7,874.6,9.43,44.9,,8.8,62.1,78
"Москва, Центральный федеральный округ, Россия",2009 2009,29.4,-27.5,5.9,-33.2,31.5,736.6,19.78,48.3,,8.5,61.4,78.36
"Москва, Центральный федеральный округ, Россия",2010 2010,37.9,-26,6.4,-34.7,39.4,598.3,29.29,41.8,,8.6,54.7,73.81
"Москва, Центральный федеральный округ, Россия",2011 2011,33.7,-28,6.5,-37.1,33.7,598.9,33.27,45,46.8,9.1,58,74.65
"Москва, Центральный федеральный округ, Россия",2012 2012,32.4,-30.9,5.6,-36.6,33.3,821.1,23.4,41.2,57.6,8.8,59.7,76.86
"Москва, Центральный федеральный округ, Россия",2013 2013,31.2,-20.4,6.5,-26.9,31.2,891.2,33.25,38.5,50.4,8.3,61.7,77.15
"Москва, Центральный федеральный округ, Россия",2014 2014,32.7,-25.6,6.6,-33.2,31,482.1,4.71,38.3,57.6,8,50.1,71.99
