Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Oslo, Norge",1991 1991,30.9,-18.9,6.2,-20,30.2,368.55,50.42,52.5,,14.1,43.9,77.4
"Oslo, Norge",1992 1992,28.4,-12.7,6.7,-20.4,27.2,593.1,15.36,63.9,,14.2,43.4,76.37
"Oslo, Norge",1993 1993,25.5,-19.1,5.8,-20.6,,222.58,26.32,120.2,,14.1,46.2,75.45
"Oslo, Norge",1994 1994,29.8,-26.4,6.3,-30.6,28.8,219,43.29,131.4,,12.7,50.2,76.8
"Oslo, Norge",1995 1995,28.9,-22.4,6.4,-23.6,28.6,5,14.65,153.7,,12.4,51.8,76.57
"Oslo, Norge",1996 1996,27.4,-20.3,5.7,-23.5,26.8,0.1,23.04,118.4,,14.4,56,77.83
"Oslo, Norge",1997 1997,30.1,-19.4,7.6,-19.7,29.5,3,10.66,135.4,,24.4,56.4,74.95
"Oslo, Norge",1998 1998,23.8,-17.1,6.8,-18.4,,5.15,7.51,140.8,,23.8,64.4,79.33
"Oslo, Norge",1999 1999,27.7,-20.1,6.6,-26,27,579.24,5.93,120.2,,22.6,61.8,79.84
"Oslo, Norge",2000 2000,25.5,-18.9,7.3,-22.8,,3233.02,6.3,76,,21.5,61.3,76.89
"Oslo, Norge",2001 2001,28.3,-24.9,5.7,-31.5,27.8,2363.79,14.19,74.2,,21,56.6,75.16
"Oslo, Norge",2002 2002,27.8,-19.5,6.4,-25.1,27.8,1903.94,12.56,53.6,,26.2,48.7,75.18
"Oslo, Norge",2003 2003,29.6,-19.5,6.6,-25.2,28.8,1701.87,22.26,44.1,,33.5,40.3,73.07
"Oslo, Norge",2004 2004,31.1,-15.5,7,-22,29.7,2328.19,22.94,59.4,,31.6,40.1,71.33
"Oslo, Norge",2005 2005,31.3,-20.9,7.3,-25.6,30.3,2159.39,5.32,55.2,,25.7,28.5,70.8
"Oslo, Norge",2006 2006,29.1,-15.7,7.2,-20.2,28.2,2416.39,33.18,114.8,7.6,33.5,19.5,75.85
"Oslo, Norge",2007 2007,30.3,-14.3,6.8,-22.4,28.8,2417.47,17.34,72.4,,44.9,16.4,72.89
"Oslo, Norge",2008 2008,30.4,-13,7.3,-18.2,28.9,1940.3,8.45,98.3,,46.9,10.7,73.34
"Oslo, Norge",2009 2009,31.7,-16,6.3,-21.4,30.3,1850.63,42.69,44.4,,46.5,10.8,75.01
"Oslo, Norge",2010 2010,25.3,-19.2,4.4,-25.3,,1457.51,31.04,35.7,,46.8,9.1,74.99
"Oslo, Norge",2011 2011,26.7,-17.3,7,-23.6,26.6,1670.94,36.13,76,,48.9,9.3,76.3
"Oslo, Norge",2012 2012,28.9,-17.4,6.1,-24,27.7,1590.04,15.57,94.3,,49.8,11.2,76.03
"Oslo, Norge",2013 2013,27.9,-16.4,6.4,-22.7,27.3,1371.26,40.05,96.5,80.5,48.4,13.5,75.59
"Oslo, Norge",2014 2014,31.3,-20,7.9,-18.9,30.6,1372,11.25,36,70,44.9,12.7,76.66
