Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Ottawa, ON, Canada",1991 1991,35.1,-25.9,7.2,-35.6,37.8,760.5,16.22,57.6,,25.2,63.7,69.73
"Ottawa, ON, Canada",1992 1992,30.6,-29.9,5.5,-41.9,33.7,962.5,14.6,55.4,,24.8,57.1,73.1
"Ottawa, ON, Canada",1993 1993,31.3,-30.1,6,-37.5,37.7,1043.9,5.74,38.1,,24.3,16.4,81.26
"Ottawa, ON, Canada",1994 1994,32.5,-32,6.2,-42.4,37.6,911.2,29.81,48.2,,25,17.9,74.19
"Ottawa, ON, Canada",1995 1995,35.1,-29,6.4,-44.2,39.8,1109.7,24.45,94.3,,24.8,64.1,66.99
"Ottawa, ON, Canada",1996 1996,32.1,-26.9,5.8,-37.2,35.6,889.2,15.48,64.8,,23.2,67.8,67.62
"Ottawa, ON, Canada",1997 1997,33.1,-29.9,5.8,-42.9,34.3,827.4,19.73,46.4,,24,67.2,67.15
"Ottawa, ON, Canada",1998 1998,32.1,-25.9,8.4,-35.1,35,863.5,14.31,74.2,,25.2,68.3,66.98
"Ottawa, ON, Canada",1999 1999,35.1,-29,7.9,-40,37,917,17.34,51.8,,25.8,60.2,67.99
"Ottawa, ON, Canada",2000 2000,30.1,-26.9,6.2,-41.9,32,1102.7,19.54,76,,25.3,64.2,68.57
"Ottawa, ON, Canada",2001 2001,36.1,-22,7.8,-32.6,39.9,967.91,45.68,59.6,,23.3,58.5,73.25
"Ottawa, ON, Canada",2002 2002,35.1,-22,7.1,-31.9,39.5,1015.44,12.18,74.4,,22.1,55.5,70.31
"Ottawa, ON, Canada",2003 2003,33.1,-28.5,6.1,-42.4,35.4,1141.97,20.59,57.2,,21.6,54.4,71.05
"Ottawa, ON, Canada",2004 2004,30.1,-29.9,6,-43.7,31.4,972.67,13.6,51.8,,21.8,55.3,73.14
"Ottawa, ON, Canada",2005 2005,32.7,-27.6,7.2,-39,37.5,756.8,18.34,38.9,68.4,22,0.3,77.89
"Ottawa, ON, Canada",2006 2006,36.1,-21.4,7.9,-32.4,45.4,1356.71,16.12,53.6,104,20.9,60.1,73.66
"Ottawa, ON, Canada",2007 2007,33.9,-26.1,6.7,-41.6,38.8,1070.2,20.64,55.4,113,21.1,26,73.16
"Ottawa, ON, Canada",2008 2008,32.2,-26.2,6.5,-30.3,33.4,1096.49,28.71,44,,20.2,10.5,75.29
"Ottawa, ON, Canada",2009 2009,33.1,-28.8,6.3,-37.7,35.8,1059.74,28.76,41.9,123.9,20.8,10.8,73.53
"Ottawa, ON, Canada",2010 2010,34.9,-23,8.3,-32.3,37.7,1110,13.84,37,65.6,21.1,11,72.16
"Ottawa, ON, Canada",2011 2011,36.1,-29.9,7.8,-36.3,40.2,989.26,17.65,48.9,86.8,21.2,10.9,72.77
"Ottawa, ON, Canada",2012 2012,35.1,-23.9,8.2,-30.9,36.3,851.77,18.78,43.7,74.9,19.9,11.7,71.42
"Ottawa, ON, Canada",2013 2013,33.3,-28.8,6.5,-38.2,37.9,784.6,31.45,53.6,144.4,20.6,5.1,73.5
"Ottawa, ON, Canada",2014 2014,30.9,-27.5,6.4,-40,34.4,729.6,37,51.8,79.6,21.2,2.2,72.41
