Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Paris, Île-de-France, France",1991 1991,34.3,-12.3,11,-20.8,39.5,599.23,1.15,58,,9.7,41.2,79
"Paris, Île-de-France, France",1992 1992,34.5,-5.9,11.5,-11.2,34.5,886.97,,68.4,,10,49.1,82.38
"Paris, Île-de-France, France",1993 1993,30.5,-8.9,11,-14.3,32,964.9,0.5,66.6,,9.3,53.1,79.11
"Paris, Île-de-France, France",1994 1994,35.5,-8.9,12.4,-12.8,36.1,657.4,1,59.4,,9.7,54.4,76.99
"Paris, Île-de-France, France",1995 1995,36.1,-5.9,12.2,-11.9,38.2,689.1,2,64.8,,9.5,49.3,76.5
"Paris, Île-de-France, France",1996 1996,33.1,-9.9,10.8,-16.6,33.1,495.9,4.71,46.4,,9.5,52.2,74.34
"Paris, Île-de-France, France",1997 1997,33.1,-11.9,12.2,-19.9,33.5,674.8,1.96,59.4,,9.6,47.8,75.11
"Paris, Île-de-France, France",1998 1998,36.5,-8,11.4,-11.4,35.7,717.4,,55.4,,9.9,54.6,76.66
"Paris, Île-de-France, France",1999 1999,32.2,-4.9,12.3,-8.8,33.2,1173.76,3.82,68.6,,13.6,47.7,77.2
"Paris, Île-de-France, France",2000 2000,32.3,-6.5,12.3,-8.6,32.2,2122.32,,54.7,,14.8,44.7,76.22
"Paris, Île-de-France, France",2001 2001,34.4,-4.4,11.9,-11.7,34.5,1296.72,41.88,43,,14.5,44.2,75.68
"Paris, Île-de-France, France",2002 2002,34.1,-5.4,12.5,-9.1,37.1,896.02,215,61.5,,15.7,44.8,75.05
"Paris, Île-de-France, France",2003 2003,39.1,-8.2,12.7,-14.7,38.8,576.08,1.42,57.2,,17.5,39,70.76
"Paris, Île-de-France, France",2004 2004,33,-6,12,-8.6,32.6,681.15,2.01,53.6,,17.3,44.4,73.66
"Paris, Île-de-France, France",2005 2005,34.2,-6,12.4,-12,34.2,489.03,3.85,31.6,72.4,17.6,35.6,73.37
"Paris, Île-de-France, France",2006 2006,36.1,-4.8,12.6,-10.1,35.9,656.45,1.28,41.1,94.8,16.1,36.2,73.76
"Paris, Île-de-France, France",2007 2007,33.1,-3.8,12.6,-8,32.9,735.08,1,45,94.7,13.9,34.8,72.75
"Paris, Île-de-France, France",2008 2008,33.7,-3.3,12.1,-8.1,33.9,603.03,0.67,40.7,,19.7,35.4,73.63
"Paris, Île-de-France, France",2009 2009,35.3,-9.1,12.3,-15.1,36,542.47,2.2,41.1,91.5,16.9,32.4,73.59
"Paris, Île-de-France, France",2010 2010,34.5,-5.9,11.4,-12.7,33.8,674.05,2.66,49,122,22.9,36.9,69.52
"Paris, Île-de-France, France",2011 2011,36.3,-4,13.3,-8.3,36.2,517.37,,37.4,94,19.1,27.9,68.59
"Paris, Île-de-France, France",2012 2012,38,-8.5,12.3,-16.2,37.8,643.96,0.14,38.6,92.5,18,11.1,70.3
"Paris, Île-de-France, France",2013 2013,35.4,-5.8,11.8,-10.7,34.7,519.32,0.01,38.7,77.8,15.5,8.8,72.3
"Paris, Île-de-France, France",2014 2014,35,-5.6,13.1,-8,37.2,712.16,1,43,83.5,15.7,9.6,75.05
