Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Praha, Hlavní město Praha, Česká Republika",1991 1991,32.7,-18.9,7.8,-27.6,34.4,273.66,4.87,61.2,,11.1,46.9,75.88
"Praha, Hlavní město Praha, Česká Republika",1992 1992,35.1,-12,9.2,-17.9,34.8,234.69,4.38,79.6,,12.1,45.8,74.21
"Praha, Hlavní město Praha, Česká Republika",1993 1993,31.8,-18.9,8.1,-25.1,30.7,507.12,6.94,82.8,,10.5,46.1,74.95
"Praha, Hlavní město Praha, Česká Republika",1994 1994,36.1,-13.9,9.6,-23.2,34.2,329.71,3.51,73.2,,12,50.8,75.16
"Praha, Hlavní město Praha, Česká Republika",1995 1995,33.1,-14.9,8.7,-21.5,33.5,343.73,3.04,54,,11.7,56.8,78.28
"Praha, Hlavní město Praha, Česká Republika",1996 1996,29.9,-22.9,6.9,-28.7,30.4,383.04,3.38,50.4,,10.6,60.7,80.49
"Praha, Hlavní město Praha, Česká Republika",1997 1997,31.3,-14.9,9.4,-22.7,31.6,487.51,9.25,70.2,,15.4,58.6,75.47
"Praha, Hlavní město Praha, Česká Republika",1998 1998,34.7,-16.1,7.5,-21.9,35.4,577.67,2.34,54,,19.6,69.5,77.63
"Praha, Hlavní město Praha, Česká Republika",1999 1999,33.7,-15.4,9.3,-20.6,33.5,198.1,3.31,57.2,,20.8,68,75.71
"Praha, Hlavní město Praha, Česká Republika",2000 2000,34.1,-13.5,10,-18.5,32.8,839.96,2.36,55.4,,21,67.1,75.36
"Praha, Hlavní město Praha, Česká Republika",2001 2001,31,-13.1,8.7,-19.9,31.3,1020.52,4.83,50.4,,19.6,69,82.13
"Praha, Hlavní město Praha, Česká Republika",2002 2002,32.2,-15.9,9.5,-19.4,33,1195.15,4.99,72,,19.1,66.8,79.47
"Praha, Hlavní město Praha, Česká Republika",2003 2003,35.7,-14.2,9.3,-17.3,34,599.55,1.99,43.4,,21.2,57.4,71.92
"Praha, Hlavní město Praha, Česká Republika",2004 2004,32.1,-20.4,9.2,-22.1,30.4,478.92,6.48,57.6,,19,62.5,75.06
"Praha, Hlavní město Praha, Česká Republika",2005 2005,35.3,-13.5,9.2,-19.1,37.8,480.31,6.67,50,90,15.7,57.7,77.44
"Praha, Hlavní město Praha, Česká Republika",2006 2006,33.6,-16.4,9.6,-19.5,31.9,480.87,3.96,40.7,187.2,15.6,55.6,77.07
"Praha, Hlavní město Praha, Česká Republika",2007 2007,36.6,-9.1,10.7,-14.2,35.5,513.52,7.85,79.6,165.6,21,60.4,71.21
"Praha, Hlavní město Praha, Česká Republika",2008 2008,33.1,-9.5,10.7,-14.7,31.7,433.57,3.48,49.9,,20.9,63,72.13
"Praha, Hlavní město Praha, Česká Republika",2009 2009,35.9,-14.7,10.3,-24.2,38.6,473.96,5.52,46.4,334.8,20,64.5,72.68
"Praha, Hlavní město Praha, Česká Republika",2010 2010,35.5,-18,8.9,-22.1,35.3,678.17,16.55,46,331.2,18.9,64.9,73.83
"Praha, Hlavní město Praha, Česká Republika",2011 2011,33.1,-13.9,10.5,-18.4,35.1,491.59,5.55,45.9,92.4,20.5,56.1,72.02
"Praha, Hlavní město Praha, Česká Republika",2012 2012,38.3,-20.1,10.6,-25.6,36.9,527.19,4.25,49.8,93.6,21.3,56.9,70.87
"Praha, Hlavní město Praha, Česká Republika",2013 2013,38,-16.2,9.8,-17.2,39.9,656.36,6.14,70.3,110.2,19,63.4,74.39
"Praha, Hlavní město Praha, Česká Republika",2014 2014,35.4,-13.6,11,-17.7,34.3,751.43,2.3,42.7,74.7,18.2,63.2,74.56
