Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Pretoria, Gauteng, South Africa",1991 1991,32.6,-0.9,18.5,-4.7,31.8,1049.22,,35.3,,24.9,36,59.06
"Pretoria, Gauteng, South Africa",1992 1992,35.8,1.1,19.6,-1.8,33.5,831.59,,88.8,,27.3,28.8,49.21
"Pretoria, Gauteng, South Africa",1993 1993,35.1,-0.8,18.9,-2,33.6,1244.54,,74.1,,26.8,35.6,57.3
"Pretoria, Gauteng, South Africa",1994 1994,33.6,-2.3,17.9,-7.9,31.9,1343.24,,50,,21.6,36.4,57.59
"Pretoria, Gauteng, South Africa",1995 1995,34.6,-5.9,16.5,-10.2,34.6,2354.75,,53.4,,14.2,31.6,62.33
"Pretoria, Gauteng, South Africa",1996 1996,32.8,-2.9,16.3,-7.6,32.4,1856.08,,48.2,,12.9,38.1,67.43
"Pretoria, Gauteng, South Africa",1997 1997,36,-1.4,17,-7.3,34.7,1884.68,,112.9,,12.7,33.4,66.63
"Pretoria, Gauteng, South Africa",1998 1998,35,-2.9,17.9,-7.6,33.1,1525.11,,47,,12.3,27.3,58.61
"Pretoria, Gauteng, South Africa",1999 1999,36.1,0.1,17.6,-6.1,34.6,936.31,3.15,44.7,,12.8,29,59.52
"Pretoria, Gauteng, South Africa",2000 2000,34,-2.9,16.7,-12.4,31.8,2171.39,,54,,12.1,34.3,66.68
"Pretoria, Gauteng, South Africa",2001 2001,37,-1.9,17.7,-6.3,35.1,1321.75,,46.4,,12.8,30.2,62.97
"Pretoria, Gauteng, South Africa",2002 2002,35.1,-0.9,17.9,-5.5,33.1,1038.8,,37.1,,13.1,29.2,59.61
"Pretoria, Gauteng, South Africa",2003 2003,37,-4.9,17.7,-11.2,34.7,1175.4,,48.2,,13.9,21.8,53.08
"Pretoria, Gauteng, South Africa",2004 2004,34.8,-1.9,16.7,-6.5,33.7,1846.8,,75.6,,15.3,23.5,58.1
"Pretoria, Gauteng, South Africa",2005 2005,35.3,0.2,17.1,-3.2,33.1,977.29,,161.7,,15,10.2,57.06
"Pretoria, Gauteng, South Africa",2006 2006,35.3,-1.7,15.8,-5.8,32.9,1153.46,,77.9,,15,11.4,59.58
"Pretoria, Gauteng, South Africa",2007 2007,35.1,-1,17.3,-7.6,32.8,933.38,,48.1,,15.2,8,50.71
"Pretoria, Gauteng, South Africa",2008 2008,36.1,-0.2,17.3,-5.3,33.7,929.32,,67.1,,14.9,8.8,56.23
"Pretoria, Gauteng, South Africa",2009 2009,34.3,-0.1,17,-6.2,32.2,1190.36,,49.1,,15.1,11.3,57.54
"Pretoria, Gauteng, South Africa",2010 2010,36.1,-2.7,17.9,-6.6,33.4,1086.39,,35.9,,12.5,18.6,57.17
"Pretoria, Gauteng, South Africa",2011 2011,36.6,-0.2,17.5,-5.1,33.8,677.37,,33.8,,11,25.5,53.61
"Pretoria, Gauteng, South Africa",2012 2012,35.5,0.1,17.8,-4.5,34.3,835.65,,76.5,,10.9,20.2,51.11
"Pretoria, Gauteng, South Africa",2013 2013,37.8,-1.6,17.8,-2.6,35.9,539.43,,77.7,57.6,11.3,19,51.94
"Pretoria, Gauteng, South Africa",2014 2014,35,0,17.4,-4.2,32.4,1251.42,,70.7,98.3,13.4,15,53.73
