Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"الرياض, السعودية",1991 1991,46.1,4,26.2,2.1,39.9,227.88,,72.3,,8.9,11.4,24.89
"الرياض, السعودية",1992 1992,45.1,0,24.8,-3.3,42.3,126.6,,112.4,,8.9,15.1,26.09
"الرياض, السعودية",1993 1993,45.1,0.1,26.2,-6.2,41.2,108,,64.8,,9.4,15,28.22
"الرياض, السعودية",1994 1994,45.1,2,26.6,-1.5,39.8,554,,76.5,,9.1,13.7,24.19
"الرياض, السعودية",1995 1995,45.1,0.3,25.9,2.9,40.3,127,,90.2,,9.5,14.4,28.44
"الرياض, السعودية",1996 1996,45.1,5.1,26.6,3.3,41.5,8.3,,55,,9.8,15.9,30.54
"الرياض, السعودية",1997 1997,46.9,4.1,26.1,1.3,39.9,269,,64,,9.8,18,29.27
"الرياض, السعودية",1998 1998,46.4,2.1,27.7,1.1,43.3,0,,118.4,,9.9,12.2,25.5
"الرياض, السعودية",1999 1999,46.3,5.1,27.9,4.4,40.9,22.8,1.8,48.2,,9.8,8.4,23.25
"الرياض, السعودية",2000 2000,46.1,5,27.4,3.1,41.9,238.62,,83.4,,9.3,12.9,24.96
"الرياض, السعودية",2001 2001,47,2,27.5,-0.2,42.1,65.04,,65.3,,9.9,7.8,24.02
"الرياض, السعودية",2002 2002,47.1,3.1,26.8,1,41.5,143.06,,111.2,,9.7,11.8,26.97
"الرياض, السعودية",2003 2003,47,2.1,27.4,-1.7,42.7,275.96,,90.3,,9.3,11.6,26.21
"الرياض, السعودية",2004 2004,46,4,27,0.1,41.1,93.58,,104.9,,9.5,13.8,26.55
"الرياض, السعودية",2005 2005,47.3,1.4,27.1,-3.6,42.8,302.87,,144.9,,9.4,11.4,27.05
"الرياض, السعودية",2006 2006,46.1,3,27.1,-0.6,41.6,454.46,,47.9,,9,16.8,28.44
"الرياض, السعودية",2007 2007,47.4,1.5,27.3,1.2,41.5,53.54,,81.1,,8.9,12.2,26.04
"الرياض, السعودية",2008 2008,46,-2,27.1,-4.4,41.8,444.56,,126.5,,8.4,11.8,24.49
"الرياض, السعودية",2009 2009,45.1,1.1,27.6,-1.9,45.2,488.61,,72.5,,8.1,11.3,26.49
"الرياض, السعودية",2010 2010,47,3.1,28.5,1.7,45.3,170.25,,72.5,,8.4,8,23.98
"الرياض, السعودية",2011 2011,48,3.1,26.7,2.1,45,196.76,,42.2,,8.3,11.1,28.23
"الرياض, السعودية",2012 2012,47.1,-0.9,26.4,-0.6,41.9,83.5,,55.4,,8.6,11.8,27.22
"الرياض, السعودية",2013 2013,45.1,0.1,26.2,-0.4,39.9,46.8,,61.2,,7.6,10,25.65
"الرياض, السعودية",2014 2014,45.1,3.1,27,1,42.2,0,,55.4,,7.7,10.9,27.83
