Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Roma, Lazio, Italia",1991 1991,33.8,-2.7,15.5,-6.5,34.8,856.93,,153.5,,8.5,5.9,69.86
"Roma, Lazio, Italia",1992 1992,35.8,-0.5,16.4,-4.2,39.4,875.29,,59,,8.4,13.1,69.43
"Roma, Lazio, Italia",1993 1993,40.1,-3.7,15.9,-9.9,47.9,541.3,0,61.2,,8.7,31.1,72.76
"Roma, Lazio, Italia",1994 1994,37.7,-4.6,16.7,-10.1,41.8,545.7,,73.8,,9.3,33.7,74.64
"Roma, Lazio, Italia",1995 1995,35.9,-4.6,15.5,-7.1,39.8,186.6,12.5,53.7,,9.5,37.3,74.98
"Roma, Lazio, Italia",1996 1996,34.1,-4.9,15.3,-9.5,37.9,0,,52.2,,9.3,40.5,76.94
"Roma, Lazio, Italia",1997 1997,34.8,-0.8,16.3,-3.5,36.7,0,,54.7,,9.3,37,73.63
"Roma, Lazio, Italia",1998 1998,37.7,-3.9,16.1,-6.3,40.3,1,,112.6,,9.3,33.4,75.78
"Roma, Lazio, Italia",1999 1999,37,-2.9,16,-9.5,40.5,69.7,2.91,59.4,,9.3,34.8,77.34
"Roma, Lazio, Italia",2000 2000,38.7,-4.7,16.3,-7.6,43.4,1304.39,5,55.1,,9.3,37,76.45
"Roma, Lazio, Italia",2001 2001,36,-4.7,16.3,-10,39.4,1453.09,,71.3,,10.3,34.5,73.95
"Roma, Lazio, Italia",2002 2002,35.8,-6.6,16.3,-13.3,42.1,2246.9,1,59.4,,9.7,40.4,75.44
"Roma, Lazio, Italia",2003 2003,38.9,-3.9,16.9,-5.7,43.6,1458.52,,53.8,,9.9,32.8,69.19
"Roma, Lazio, Italia",2004 2004,36.8,-4.8,16,-7.2,37.7,2053.19,,56.9,,9.4,41.7,73.2
"Roma, Lazio, Italia",2005 2005,38.7,-3.7,15,-6.4,40.4,2102.67,7,45.9,,9.8,24.6,70.2
"Roma, Lazio, Italia",2006 2006,36.2,-3.1,15.5,-4.3,40.7,975.74,,37.2,,9.5,15.9,74.21
"Roma, Lazio, Italia",2007 2007,40,-4.1,15.8,-6.5,40.9,952.08,,32.9,,10.2,16.3,72.47
"Roma, Lazio, Italia",2008 2008,34.7,-4.9,16,-6.7,37.2,1325.96,,42.4,,9.9,25.5,72.63
"Roma, Lazio, Italia",2009 2009,37.8,-2.9,16.5,-7.8,41.1,1861.1,,68.2,,10.4,28.7,71.24
"Roma, Lazio, Italia",2010 2010,38.1,-4.9,16.2,-7.7,48,1771.93,,50.3,,10.1,37.3,73.44
"Roma, Lazio, Italia",2011 2011,37.9,-2.8,16.3,-4.9,37.4,1035.26,,41.8,,9.8,25.2,72.47
"Roma, Lazio, Italia",2012 2012,38.8,-4.9,16.4,-7.4,38.8,926.34,2.5,58.3,,9.9,24.8,72.55
"Roma, Lazio, Italia",2013 2013,37.7,-1.9,16,-4.6,42.6,1457.12,,48,,10.4,29.8,76.16
"Roma, Lazio, Italia",2014 2014,33.8,-1.6,16.5,-6.5,35.5,2030.59,,48.6,,10,30.2,75.02
