Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Santiago, Región Metropolitana de Santiago, República de Chile",1991 1991,40.1,-3.3,14.4,-6.5,33,512.8,,116.6,,8.7,35.5,74.58
"Santiago, Región Metropolitana de Santiago, República de Chile",1992 1992,35.1,-5.9,13.9,-9,33.8,817.03,,100.1,,8.2,37.3,74.8
"Santiago, Región Metropolitana de Santiago, República de Chile",1993 1993,33.1,-4.8,14.1,-8.2,31.3,3175.5,,82.8,,7.6,33.1,71.09
"Santiago, Región Metropolitana de Santiago, República de Chile",1994 1994,34.1,-2.9,14.5,-4.2,31.9,2540.6,,110.9,,7.1,36.7,69.01
"Santiago, Región Metropolitana de Santiago, República de Chile",1995 1995,34.1,-2.9,14.6,-6.6,31.5,626.9,,59,,8,33.9,67.12
"Santiago, Región Metropolitana de Santiago, República de Chile",1996 1996,34.1,-5.8,14.5,-5.9,31.8,185.6,,110.9,,7.6,28.6,65.03
"Santiago, Región Metropolitana de Santiago, República de Chile",1997 1997,35.1,-1.9,15,-4,32.8,969.7,,92.5,,7.2,43.2,67.78
"Santiago, Región Metropolitana de Santiago, República de Chile",1998 1998,36.1,-4.1,14.8,-5.9,34.3,78,,59.4,,7,41,66.74
"Santiago, Región Metropolitana de Santiago, República de Chile",1999 1999,35.1,-3.3,14.3,-4.3,31.6,19.6,3.18,40.7,,7.5,38.8,69.91
"Santiago, Región Metropolitana de Santiago, República de Chile",2000 2000,33.4,-2.9,14.4,-5.1,31.8,321.4,,43.2,,7.7,36.8,69.26
"Santiago, Región Metropolitana de Santiago, República de Chile",2001 2001,34.1,-5.9,14.8,-7.1,33.4,292.5,,83.2,,8.1,40,67.63
"Santiago, Región Metropolitana de Santiago, República de Chile",2002 2002,34.1,-1.9,14.5,-4,32,518.4,,43.2,,7.7,40.5,65.17
"Santiago, Región Metropolitana de Santiago, República de Chile",2003 2003,36.1,-3.9,14.9,-5.6,34.6,468.4,,92.5,,7.7,34.1,63.86
"Santiago, Región Metropolitana de Santiago, República de Chile",2004 2004,34.1,-2.9,14.8,-5.3,31.7,267.1,,79.6,,8,37.1,66.61
"Santiago, Región Metropolitana de Santiago, República de Chile",2005 2005,35.8,-2.9,15.1,-5.1,35.3,522.01,,142,,7.9,40.4,68.53
"Santiago, Región Metropolitana de Santiago, República de Chile",2006 2006,36,-1.9,15.3,-4,35,687.94,,33.5,,8.3,34.2,65.66
"Santiago, Región Metropolitana de Santiago, República de Chile",2007 2007,34.1,-3.9,14,-6,32,161.05,,38.9,,8.3,30.7,64.3
"Santiago, Región Metropolitana de Santiago, República de Chile",2008 2008,34.6,-0.9,15.2,-3.7,33.2,375.87,,71.2,,8.7,27.8,66.22
"Santiago, Región Metropolitana de Santiago, República de Chile",2009 2009,34.1,-1.9,15.4,-5.1,31.6,294.77,,40.7,,8.9,30.2,62.08
"Santiago, Región Metropolitana de Santiago, República de Chile",2010 2010,35.1,-3.9,14.6,-7.2,33.8,224.75,,37.1,,8.7,26.2,63
"Santiago, Región Metropolitana de Santiago, República de Chile",2011 2011,34.1,-2.9,15,-5.1,32.2,149.23,,92.5,,8.8,25.6,61.22
"Santiago, Región Metropolitana de Santiago, República de Chile",2012 2012,34.7,-1.9,15.6,-4.3,32.2,225.06,,40.7,,8.9,31.1,61.88
"Santiago, Región Metropolitana de Santiago, República de Chile",2013 2013,36.1,-2.9,15.2,-5.1,33.8,139.81,,38.9,,8.6,27.2,60.78
"Santiago, Región Metropolitana de Santiago, República de Chile",2014 2014,34.1,-0.9,15.2,-3.7,31.8,176.8,,37.1,,8.2,30.6,59.48
