Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
Singapore,1991 1991,33.1,22.1,27.5,,42.5,1955.1,,35.3,,10.6,72.6,83.16
Singapore,1992 1992,33.7,4.1,27.4,0.9,42.3,5671.7,,94.3,,11.5,69.6,83.36
Singapore,1993 1993,33.1,4.1,27.5,0.1,44.3,1418.4,0,42.5,,10.1,64.1,83.58
Singapore,1994 1994,34.1,21.1,27.7,,42.5,524.2,,33.5,,9.7,71.8,83.24
Singapore,1995 1995,34.1,22.6,27.8,,44,2811.6,,50,,12,81.2,84.17
Singapore,1996 1996,34.1,22.7,27.6,,44.3,3037.6,,50,,12,78.9,83.3
Singapore,1997 1997,35.1,22.1,28.3,,43.7,1248.9,,37.1,,10.8,78.3,79.57
Singapore,1998 1998,35.2,22.9,28.4,,45.9,3025.9,,38.9,,11.7,83.2,82.42
Singapore,1999 1999,34.5,22.1,27.6,,42.6,1942.1,2.03,35.3,,10.9,85.6,80.9
Singapore,2000 2000,35,21.4,27.8,,44.5,2624.2,,36,,10.3,84.2,81.05
Singapore,2001 2001,34.1,21.3,27.7,,45.6,2966.4,,55.6,,11.1,83.7,81.36
Singapore,2002 2002,34.8,22.8,28.2,,44.2,1983.5,,35.1,,10.5,83.9,80.9
Singapore,2003 2003,34.8,22.3,28,,42.7,2421.2,,30.5,,10.2,84.1,81.89
Singapore,2004 2004,35.1,22.1,28,,51.4,2115.2,,30.6,,10.1,84.2,81.02
Singapore,2005 2005,35,22.6,28.1,,41.8,2103.8,,34.9,,10.5,84.2,80.27
Singapore,2006 2006,34.6,23,27.9,,44.7,2741.6,,33.4,,10.1,86.8,82.77
Singapore,2007 2007,34.4,22.2,27.7,,42.8,2854.6,,35.3,,10.6,86.1,82.27
Singapore,2008 2008,33.6,22.1,27.7,,42.5,2212.1,,27.7,,10.6,85.2,82.46
Singapore,2009 2009,34.4,23.1,28.2,,43.7,1900.8,,34.8,,10.3,84,81.95
Singapore,2010 2010,35.3,23.1,28.3,,45.5,2025.9,,32.5,,10.3,85,80.51
Singapore,2011 2011,35.4,22.1,27.9,,43.1,2487.7,,32.4,,10.4,86.1,81.57
Singapore,2012 2012,34.4,22.1,28,,42.4,2078.4,,25.9,,10.3,85.5,80.56
Singapore,2013 2013,35.4,21.9,28.1,,42.8,975.2,,31.7,,9.5,85,79.76
Singapore,2014 2014,34.8,22.3,28.3,,42.3,0,,31.9,,9.2,85,77.73
