Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Stockholm, Stockholms län, Sverige",1991 1991,30,-14.8,6.9,-18.3,31.8,493.6,,46.4,,9.3,43.3,84.59
"Stockholm, Stockholms län, Sverige",1992 1992,27.9,-12.9,7.4,-14.9,27.5,335.58,,51.8,,9.6,37.2,76.21
"Stockholm, Stockholms län, Sverige",1993 1993,27,-15.9,6.2,-19.9,26.2,77.2,,57.2,,9.6,41.1,74.47
"Stockholm, Stockholms län, Sverige",1994 1994,33.1,-25.9,7.1,-23.4,32.3,2.3,,57.2,,9.6,40.4,74.1
"Stockholm, Stockholms län, Sverige",1995 1995,29,-20.9,6.3,-28.3,28.9,16.7,,66.6,,9.5,40.6,77.57
"Stockholm, Stockholms län, Sverige",1996 1996,29,-25.9,5.9,-30,28.1,85.1,,51.8,,9.5,40.5,77.38
"Stockholm, Stockholms län, Sverige",1997 1997,29.2,-16.4,6.8,-24,31.4,0,,53.6,,17.7,42.2,74.64
"Stockholm, Stockholms län, Sverige",1998 1998,25.1,-16.9,6.1,-22.8,,0,,47.8,,9.4,40.6,79.89
"Stockholm, Stockholms län, Sverige",1999 1999,31,-20.9,7.8,-31.2,30.3,0,2.99,48.1,,9.6,41.8,76.41
"Stockholm, Stockholms län, Sverige",2000 2000,25.1,-20.5,8,-26.8,,0,,44.3,,9.5,41.5,77.05
"Stockholm, Stockholms län, Sverige",2001 2001,30.6,-23.9,7.1,-28,29.4,408.01,,42.3,,11,34.6,75.36
"Stockholm, Stockholms län, Sverige",2002 2002,30,-18,7.6,-26.4,30.5,758.9,10.9,55.1,,13.5,31.1,76.4
"Stockholm, Stockholms län, Sverige",2003 2003,30.2,-23.9,7.4,-29.1,30.4,706.71,9.15,64.6,,13.3,32.4,75.99
"Stockholm, Stockholms län, Sverige",2004 2004,30.1,-16.9,7.3,-21.9,29.4,651.11,10.2,57.2,,12.8,35.4,75.53
"Stockholm, Stockholms län, Sverige",2005 2005,32,-23,7.6,-23.6,30.1,418.25,6.75,59.2,,10.8,30.3,74.66
"Stockholm, Stockholms län, Sverige",2006 2006,30.9,-17.9,8.2,-20.3,29.6,668.59,,49.8,,10.7,26.9,76.57
"Stockholm, Stockholms län, Sverige",2007 2007,30.1,-15.7,8,-21.3,28.3,623.22,,53.3,,11.6,29.3,77.18
"Stockholm, Stockholms län, Sverige",2008 2008,30,-10.7,8.4,-14.2,28.9,804.6,,54.9,,11.5,28.5,77.63
"Stockholm, Stockholms län, Sverige",2009 2009,29,-16.6,7.3,-19.3,28.9,469.74,,37.6,,13.2,26.5,79.51
"Stockholm, Stockholms län, Sverige",2010 2010,31.7,-22.9,5.6,-27.4,32,912.32,26,42.2,,14.6,30.2,80.18
"Stockholm, Stockholms län, Sverige",2011 2011,28.8,-21.8,8.1,-26.5,30.6,973.84,28.1,78.3,,15.7,28.9,78.59
"Stockholm, Stockholms län, Sverige",2012 2012,26.1,-20.6,7,-22.5,,1512,17.79,40.7,,15,17.3,79.2
"Stockholm, Stockholms län, Sverige",2013 2013,28.7,-16.1,7.7,-20.7,27.7,873.84,19.33,169.3,79.2,31.2,11.9,77.1
"Stockholm, Stockholms län, Sverige",2014 2014,31.3,-12.2,8.5,-17.4,29.8,1127.45,4.78,172.3,57.6,30.5,31.3,77.84
