Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
臺灣110台北市,1991 1991,37.1,6.6,23,2.7,48.6,1338.43,,53.6,,7.3,76.5,79.13
臺灣110台北市,1992 1992,36.1,6.1,22.2,5.2,45.3,1227.67,,56.4,,7.5,70.4,80.56
臺灣110台北市,1993 1993,37,7.5,22.8,3.2,46.8,911.73,0,99.2,,7.8,70.4,79.19
臺灣110台北市,1994 1994,37.1,0.1,23.2,-2.5,45.4,935.67,,72.5,,8.3,72.4,78.67
臺灣110台北市,1995 1995,38,6.1,22.7,6.1,46.8,838.87,,59.4,,8.8,74.2,78.01
臺灣110台北市,1996 1996,37.1,5.1,22.8,4.4,46.4,1076.89,,75.1,,9,71,78.88
臺灣110台北市,1997 1997,36,7.1,22.7,7.4,44,1080.25,,73,,8.7,73.1,79.86
臺灣110台北市,1998 1998,38,8.1,23.6,5.3,49.6,1617.92,,57.2,,9.1,77.6,81.53
臺灣110台北市,1999 1999,36.1,7.1,23,3.4,46.4,597.96,2.5,112.3,,10.1,76,80.52
臺灣110台北市,2000 2000,36.3,9,23,4.9,49.7,4585.7,,85.7,,9.6,76.7,82.7
臺灣110台北市,2001 2001,36,8,23.2,6.4,47.4,3471.7,,51.8,,10.5,71.7,79.96
臺灣110台北市,2002 2002,36,8,23.9,8,46.5,1810,,42.5,,9.5,69.9,75.98
臺灣110台北市,2003 2003,39,8.1,23.5,6.1,50.9,1561.7,,55.4,,9.5,69.6,77.07
臺灣110台北市,2004 2004,39,7,23.1,5.5,48.2,3486,,61.1,,9.3,69.5,78.37
臺灣110台北市,2005 2005,36.1,4.1,23.1,5.2,46.7,4501.44,,67.8,,9,72.9,75.15
臺灣110台北市,2006 2006,38,9,23.6,6.6,44.8,3647.09,,52,,9.1,73.8,73.8
臺灣110台北市,2007 2007,37.9,8,23.4,7.1,45.2,4499.46,,59.4,,9.2,74,73.46
臺灣110台北市,2008 2008,38,8,23.4,5.8,59.4,2634.7,,51.9,,9.3,72.5,73.73
臺灣110台北市,2009 2009,37,6.1,23.5,4.5,46.8,2647.22,,52.1,,9.5,69.9,73.26
臺灣110台北市,2010 2010,38.6,5.1,23.2,4.5,47.4,3739.97,,64.7,,9.4,72.6,74.66
臺灣110台北市,2011 2011,38,8,22.7,5.3,45.6,2661.3,,44.3,,9.6,76.8,73.66
臺灣110台北市,2012 2012,38,8.1,23,6.4,46.1,4709.02,,46.2,,9.8,76.2,75.18
臺灣110台北市,2013 2013,37,9.1,23.3,8,44.6,3664.93,,61.6,,9.5,74.3,72.71
臺灣110台北市,2014 2014,37,8,23.4,6.4,46.1,2125.9,,59.1,,9.7,71.3,69.95
