Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Tehran, Iran",1991 1991,39.4,-5.6,18.7,-9.1,37.5,472.6,3,75.6,,9.3,29.3,40.79
"Tehran, Iran",1992 1992,40.7,-7.8,15.8,-11.1,37.6,531.4,7,64.8,,9.4,35.7,41.32
"Tehran, Iran",1993 1993,38.7,-6.6,17.1,-10.2,37.5,621.9,25,57.6,,9,36,42.71
"Tehran, Iran",1994 1994,40.7,-12.6,17.8,-12.4,38.3,643.8,,54,,10,34.1,42.43
"Tehran, Iran",1995 1995,42.1,-1.3,18.3,-7.5,39.7,301.2,,72,,10.6,28.3,39.06
"Tehran, Iran",1996 1996,38.1,-4.6,18.1,-8.6,37,322.5,3.5,50.4,,9.7,37.2,45.97
"Tehran, Iran",1997 1997,41.1,-6.9,18.2,-16.8,40.6,385,,72,,9.7,37.5,39
"Tehran, Iran",1998 1998,41.1,-7.3,18.9,-14.1,40.7,498.3,,90,,9.2,42.6,41
"Tehran, Iran",1999 1999,40.1,-0.3,20,-7.2,38.1,169.8,3.04,57.6,,8.8,35.9,40
"Tehran, Iran",2000 2000,39.1,-3.9,18.7,-8.6,43.4,180.8,,54,,8.6,39.2,55.94
"Tehran, Iran",2001 2001,40.1,-5.9,20.2,-10.4,38.2,106.2,,72,,9.1,35.2,43.38
"Tehran, Iran",2002 2002,40.2,-3.9,19.4,-9.1,36.9,354.2,4,72,,8.6,37.8,36.78
"Tehran, Iran",2003 2003,42.1,-3.9,20,-7.4,39.9,156.3,,64.8,,9.1,39.6,38.94
"Tehran, Iran",2004 2004,38.7,-4,19.7,-9.2,37.5,580.3,3,59.2,,9.3,37.6,42.01
"Tehran, Iran",2005 2005,41.1,-12.3,18.3,-20.8,39.9,530.6,9.5,64,,9.1,33.1,40.86
"Tehran, Iran",2006 2006,41.4,-10,18.8,-18,45,449.9,3,85.3,,9.1,34.6,42.79
"Tehran, Iran",2007 2007,40.1,-9.9,17.9,-18.8,37.4,673.3,3.5,113.6,,9.2,35.2,42.33
"Tehran, Iran",2008 2008,42.1,-17.9,17.5,-26.2,38.4,381.8,5.5,70.7,,8.9,31.6,36.88
"Tehran, Iran",2009 2009,41.2,-4.8,18,-9.4,38,208.1,,62.7,,9.3,34.5,37.1
"Tehran, Iran",2010 2010,43,-4.9,19.5,-11,38.8,477,,77.8,,9.1,25.8,33.03
"Tehran, Iran",2011 2011,42.1,-9.9,17.7,-17.9,38.6,340.6,5,81.5,,9.2,33.4,38.33
"Tehran, Iran",2012 2012,39.2,-7,17.8,-11.6,36.5,232.6,5,81.9,,9.5,32.1,36.81
"Tehran, Iran",2013 2013,42.2,-4.9,18.5,-11.4,38.6,183.1,9,106.2,,9.2,26.3,34.04
"Tehran, Iran",2014 2014,42.1,-7.3,18.6,-14.5,38,0,,87,,8.7,30.6,34.11
