Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Warszawa, Woj. Mazowieckie, Polska",1991 1991,32.1,-20.4,8,-26.3,33.6,197.3,13.21,72,,10.4,49,80.54
"Warszawa, Woj. Mazowieckie, Polska",1992 1992,37.1,-15.9,8.8,-21.2,36.2,221.9,4.68,57.6,,10.8,46.2,79.38
"Warszawa, Woj. Mazowieckie, Polska",1993 1993,33.1,-16.9,7.8,-25.1,32.3,73.6,,61.2,,9.2,40,80.04
"Warszawa, Woj. Mazowieckie, Polska",1994 1994,36.1,-17.9,9.4,-29,35.9,1.1,,57.6,,9.3,40.9,81.92
"Warszawa, Woj. Mazowieckie, Polska",1995 1995,32.1,-19.9,8.6,-24.9,33.6,0,,46.8,,9.4,40.5,83.73
"Warszawa, Woj. Mazowieckie, Polska",1996 1996,32.1,-21.9,7,-28.7,31.3,0,,46.8,,9.1,44.8,80.07
"Warszawa, Woj. Mazowieckie, Polska",1997 1997,33.1,-19.9,8,-28.2,33.1,1.1,,82.8,,9.1,45.6,79.88
"Warszawa, Woj. Mazowieckie, Polska",1998 1998,34.2,-16.8,7.9,-26,34.3,443.7,7.64,61.2,,14.6,65.5,80.6
"Warszawa, Woj. Mazowieckie, Polska",1999 1999,32.2,-16.6,10,-25.7,33.4,102.2,4,54,,15.8,64.3,78.38
"Warszawa, Woj. Mazowieckie, Polska",2000 2000,34.7,-15.4,9.7,-19.3,33.5,776.7,2.73,86.4,,16.5,65.1,78.66
"Warszawa, Woj. Mazowieckie, Polska",2001 2001,33.9,-16.9,8.3,-27,35.2,588.4,5.55,50.4,,14.8,69.5,82.2
"Warszawa, Woj. Mazowieckie, Polska",2002 2002,32.3,-20.6,9.3,-26.2,32.7,550.4,6.66,72,,14.8,63.8,78.41
"Warszawa, Woj. Mazowieckie, Polska",2003 2003,31.7,-22.1,8.3,-27.4,32.8,470.9,10.68,46.8,,14.6,63.2,78.02
"Warszawa, Woj. Mazowieckie, Polska",2004 2004,31.8,-15,8.4,-21.8,31.5,493.9,6.63,87.4,,14,67.4,76.17
"Warszawa, Woj. Mazowieckie, Polska",2005 2005,33,-19.4,8.7,-27.5,34.1,454.8,8.48,71.9,,12.6,57.3,74.09
"Warszawa, Woj. Mazowieckie, Polska",2006 2006,34.3,-26.8,9,-34.3,32.4,452.8,20.47,48.2,,9.9,48.2,76.55
"Warszawa, Woj. Mazowieckie, Polska",2007 2007,35,-15.1,9.7,-21.8,34.5,661.2,7.22,117.4,,10.7,52.2,78.92
"Warszawa, Woj. Mazowieckie, Polska",2008 2008,30,-13,9.8,-24.3,31,479.4,2.24,64.8,,11.1,49.4,77.88
"Warszawa, Woj. Mazowieckie, Polska",2009 2009,30.5,-22,8.8,-25.2,32.2,600.1,6.98,72.1,,10.6,49.6,77.77
"Warszawa, Woj. Mazowieckie, Polska",2010 2010,35,-22.7,8,-30,36.8,707.5,23.91,64.2,,10.3,50.1,79.54
"Warszawa, Woj. Mazowieckie, Polska",2011 2011,31.5,-17.2,9.1,-23,33.1,563,7.45,129.6,,10.7,44.3,78.63
"Warszawa, Woj. Mazowieckie, Polska",2012 2012,34.6,-23,8.9,-28,35.7,496.6,4.94,89.8,,14.1,56.2,76.2
"Warszawa, Woj. Mazowieckie, Polska",2013 2013,37.1,-15.6,9.1,-22.5,37.5,112.5,11.02,64.1,68.4,9.4,47.2,78.64
"Warszawa, Woj. Mazowieckie, Polska",2014 2014,33.6,-18,10,-28.1,32.7,0,,47,50.4,8,36.3,78.6
